2015 OSAP Repayment Assistance Participation Rates by Program,,,,,
Ontario Colleges of Applied Arts and Technology,,,,,
INSTITUTION NAME,PROGRAM NAME,# of Borrowers 2012-13 (1),# of 12-13 Borrowers who received Repayment Assistance (2),2015 Repayment Assistance Participation Rate (3),
CENTENNIAL COLLEGE,Social Service Worker,79,44,55.7%,
CENTENNIAL COLLEGE,Software Engineering Technician,7,3,42.9%,
CENTENNIAL COLLEGE,Software Engineering Technology,32,13,40.6%,
CENTENNIAL COLLEGE,Sports Journalism,11,9,81.8%,
CENTENNIAL COLLEGE,Tourism And Travel,33,18,54.5%,
CENTENNIAL COLLEGE,Truck And Coach Technician Co-Op,15,3,20.0%,
CENTENNIAL COLLEGE,Wellness And Lifestyle Management,13,6,46.2%,
CENTENNIAL COLLEGE Total,,"2,963","1,346",45.4%,
,, , , ,
COLLEGE BOREAL,Art Fundamentals,*,*,*,
COLLEGE BOREAL,Business,10,6,60.0%,
COLLEGE BOREAL,Business Administration - Accounting,*,*,*,
COLLEGE BOREAL,Charpentier - Menuisier,*,*,*,
COLLEGE BOREAL,Chemical Engineering Technology,*,*,*,
COLLEGE BOREAL,Chemical Laboratory Technician,*,*,*,
COLLEGE BOREAL,Child And Youth Worker,12,4,33.3%,
COLLEGE BOREAL,Coiffure,14,5,35.7%,
COLLEGE BOREAL,Collaborative Nursing,*,*,*,
COLLEGE BOREAL,Community And Justice Services,6,1,16.7%,
COLLEGE BOREAL,Computer Engineering Technician,8,2,25.0%,
COLLEGE BOREAL,Computer Engineering Technology,*,*,*,
COLLEGE BOREAL,Computer Technical Support,*,*,*,
COLLEGE BOREAL,Construction Engineering Technician,*,*,*,
COLLEGE BOREAL,Construction Engineering Technology,6,1,16.7%,
COLLEGE BOREAL,Culinary Skills - Chef Training,6,1,16.7%,
COLLEGE BOREAL,Dental Assisting (levels I And Ii),*,*,*,
COLLEGE BOREAL,Dental Hygiene,5,0,0.0%,
COLLEGE BOREAL,Early Childhood Education,54,20,37.0%,
COLLEGE BOREAL,Electrical Engineering Technician,*,*,*,
COLLEGE BOREAL,Electrical Engineering Technology,6,0,0.0%,
COLLEGE BOREAL,Electrical Techniques,5,1,20.0%,
COLLEGE BOREAL,Electronics Engineering Technology,*,*,*,
COLLEGE BOREAL,Esthetician,5,3,60.0%,
COLLEGE BOREAL,Fish And Wildlife Technician,7,4,57.1%,
COLLEGE BOREAL,Fish And Wildlife Technology,*,*,*,
COLLEGE BOREAL,Fitness And Health Promotion,5,0,0.0%,
COLLEGE BOREAL,Forestry Technology,*,*,*,
COLLEGE BOREAL,Funeral Service Education,5,1,20.0%,
COLLEGE BOREAL,General Arts And Science - One-year,*,*,*,
COLLEGE BOREAL,Heavy Equipment Technician,*,*,*,
COLLEGE BOREAL,Law Clerk,16,11,68.8%,
COLLEGE BOREAL,Massage Therapy,5,3,60.0%,
COLLEGE BOREAL,Mechanical Engineering Technician,6,2,33.3%,
COLLEGE BOREAL,Mechanical Techniques,*,*,*,
COLLEGE BOREAL,Medical Diagnostic - Ultrasonography,*,*,*,
COLLEGE BOREAL,Medical Imaging Technology - Radiography,11,6,54.5%,
COLLEGE BOREAL,Occupational Therapist Assistant/physiotherapist Assistant (ota/pta),5,2,40.0%,
COLLEGE BOREAL,Office Administration - Executive,*,*,*,
COLLEGE BOREAL,Office Administration - General,9,3,33.3%,
COLLEGE BOREAL,Paramedic,8,3,37.5%,
COLLEGE BOREAL,Personal Support Worker,26,8,30.8%,
COLLEGE BOREAL,Pre-Sciences De La Sante,*,*,*,
COLLEGE BOREAL,Pharmacy Technician,*,*,*,
COLLEGE BOREAL,Police Foundations,11,2,18.2%,
COLLEGE BOREAL,Practical Nursing,40,17,42.5%,
COLLEGE BOREAL,Retail Pharmacy Assistant,*,*,*,
COLLEGE BOREAL,Social Service Worker,31,15,48.4%,
COLLEGE BOREAL,Techniques  et gestion de scène,*,*,*,
COLLEGE BOREAL,Veterinary Technician,15,0,0.0%,
COLLEGE BOREAL,Welding Engineering Technician,*,*,*,
COLLEGE BOREAL Total,,405,140,34.6%,
,,,, ,
CONESTOGA COLLEGE, Bachelor of Applied Arts (Public Relations),9,3,33.3%,
CONESTOGA COLLEGE,Advanced Care Paramedic,*,*,*,
CONESTOGA COLLEGE,Advanced Security Management,8,2,25.0%,
CONESTOGA COLLEGE,Advertising,14,3,21.4%,
CONESTOGA COLLEGE,Art Fundamentals,17,3,17.6%,
CONESTOGA COLLEGE,Bachelor Of Applied Business - International Business Management,19,9,47.4%,
CONESTOGA COLLEGE,Bachelor Of Applied Arts (interior Design),*,*,*,
CONESTOGA COLLEGE,Bachelor Of Applied Health Sciences (health Informatics Management),*,*,*,
CONESTOGA COLLEGE,Bachelor Of Applied Technology (architecture - Project And Facility Management),28,5,17.9%,
CONESTOGA COLLEGE,Bachelor Of Applied Technology (integrated Advanced Manufacturing Technologies),9,0,0.0%,
CONESTOGA COLLEGE,Bachelor Of Applied Technology (integrated Telecommunication And Computer Technologies),*,*,*,
CONESTOGA COLLEGE,Bachelor of Applied Human Services (Community and Criminal Justice),19,9,47.4%,
CONESTOGA COLLEGE,Bartending,7,1,14.3%,
CONESTOGA COLLEGE,Biotechnology Technician,23,12,52.2%,
CONESTOGA COLLEGE,Bookkeeping,9,3,33.3%,
CONESTOGA COLLEGE,Bridge to Practical Nursing for Internationally Educated Health Professionals,5,1,20.0%,
CONESTOGA COLLEGE,Broadcasting - Radio,13,4,30.8%,
CONESTOGA COLLEGE,Broadcasting - Television,10,4,40.0%,
CONESTOGA COLLEGE,Business,45,16,35.6%,
CONESTOGA COLLEGE,Business - Marketing,19,6,31.6%,
CONESTOGA COLLEGE,Business - Purchasing,*,*,*,
CONESTOGA COLLEGE,Business Administration,34,5,14.7%,
CONESTOGA COLLEGE,Business Administration - Accounting,67,27,40.3%,
CONESTOGA COLLEGE,Business Administration - Marketing,33,12,36.4%,
CONESTOGA COLLEGE,Business Administration - Materials And Operations Management,22,2,9.1%,
CONESTOGA COLLEGE,Business Fundamentals,24,10,41.7%,
CONESTOGA COLLEGE,Career Development Practitioner,12,7,58.3%,
CONESTOGA COLLEGE,Civil Engineering Technology,32,9,28.1%,
CONESTOGA COLLEGE,Collaborative Nursing,79,10,12.7%,
CONESTOGA COLLEGE,Computer Applications Development,7,2,28.6%,
CONESTOGA COLLEGE,Computer Engineering Technology,16,4,25.0%,
CONESTOGA COLLEGE,Computer Networking And Technical Support,7,5,71.4%,
CONESTOGA COLLEGE,Computer Programmer,7,2,28.6%,
CONESTOGA COLLEGE,Computer Programmer Analyst,16,2,12.5%,
CONESTOGA COLLEGE,Construction Engineering Technology,29,5,17.2%,
CONESTOGA COLLEGE,Construction Techniques,33,2,6.1%,
CONESTOGA COLLEGE,Court And Administrative Tribunal Agent,21,9,42.9%,
CONESTOGA COLLEGE,Culinary Management,17,5,29.4%,
CONESTOGA COLLEGE,Culinary Skills - Chef Training,16,1,6.3%,
CONESTOGA COLLEGE,Dietetic Technician,7,4,57.1%,
CONESTOGA COLLEGE,Early Childhood Education,107,33,30.8%,
CONESTOGA COLLEGE,Electrical Engineering Technician,47,7,14.9%,
CONESTOGA COLLEGE,Electrical Engineering Technology,17,3,17.6%,
CONESTOGA COLLEGE,Electronics Engineering Technician,5,0,0.0%,
CONESTOGA COLLEGE,Electronics Engineering Technology,19,5,26.3%,
CONESTOGA COLLEGE,Energy Systems Engineering Technology,*,*,*,
CONESTOGA COLLEGE,Environmental Control,9,4,44.4%,
CONESTOGA COLLEGE,Event Management,7,2,28.6%,
CONESTOGA COLLEGE,Financial Planning Management,12,3,25.0%,
CONESTOGA COLLEGE,Fitness And Health Promotion,15,2,13.3%,
CONESTOGA COLLEGE,Food And Beverage Management,*,*,*,
CONESTOGA COLLEGE,Food Processing Technician,*,*,*,
CONESTOGA COLLEGE,General Arts And Science,93,39,41.9%,
CONESTOGA COLLEGE,General Arts And Science - One-year,21,6,28.6%,
CONESTOGA COLLEGE,Global Business Management,*,*,*,
CONESTOGA COLLEGE,Government Administration,*,*,*,
CONESTOGA COLLEGE,Graphic Design,16,2,12.5%,
CONESTOGA COLLEGE,Health Office Administration,30,8,26.7%,
CONESTOGA COLLEGE,Hearing Instrument Specialist,14,4,28.6%,
CONESTOGA COLLEGE,"Heating, Refrigeration And Air Conditioning Technician",16,3,18.8%,
CONESTOGA COLLEGE,Heavy Equipment  Operator,14,1,7.1%,
CONESTOGA COLLEGE,Hospitality And Tourism Management,6,1,16.7%,
CONESTOGA COLLEGE,Hospitality Operations - Food And Beverage,*,*,*,
CONESTOGA COLLEGE,Human Services Foundation,21,6,28.6%,
CONESTOGA COLLEGE,Human Services Management,9,4,44.4%,
CONESTOGA COLLEGE,IT Innovation and Design,*,*,*,
CONESTOGA COLLEGE,Insurance,16,3,18.8%,
CONESTOGA COLLEGE,Interior Decorating,20,7,35.0%,
CONESTOGA COLLEGE,Journalism - Broadcast,5,2,40.0%,
CONESTOGA COLLEGE,Journalism - Print,10,2,20.0%,
CONESTOGA COLLEGE,Journalism - Print And Broadcasting,6,2,33.3%,
CONESTOGA COLLEGE,Law And Security Administration,86,23,26.7%,
CONESTOGA COLLEGE,Manufacturing Technician - Wood Products,12,1,8.3%,
CONESTOGA COLLEGE,Manufacturing Technology - Wood Products,13,1,7.7%,
CONESTOGA COLLEGE,Masonry Techniques,6,0,0.0%,
CONESTOGA COLLEGE,Mechanical Engineering Technician,*,*,*,
CONESTOGA COLLEGE,Mechanical Engineering Technology,26,4,15.4%,
CONESTOGA COLLEGE,Mechanical Technician Co-Op/Apprenticeship - Tool And Die,*,*,*,
CONESTOGA COLLEGE,Mechanical Technician Co_Op/Apprenticeship - General Machinist,*,*,*,
CONESTOGA COLLEGE,Mechanical Techniques,18,2,11.1%,
CONESTOGA COLLEGE,Motive Power Fundamentals,57,22,38.6%,
CONESTOGA COLLEGE,Motive Power Technician,19,3,15.8%,
CONESTOGA COLLEGE,Motive Power Techniques - Heavy Equipment,7,1,14.3%,
CONESTOGA COLLEGE,Occupational Therapist Assistant/physiotherapist Assistant (ota/pta),11,5,45.5%,
CONESTOGA COLLEGE,Office Administration - Executive,31,14,45.2%,
CONESTOGA COLLEGE,Office Administration - General,17,6,35.3%,
CONESTOGA COLLEGE,Office Administration - Legal,19,8,42.1%,
CONESTOGA COLLEGE,Paramedic,10,4,40.0%,
CONESTOGA COLLEGE,Personal Financial Services,*,*,*,
CONESTOGA COLLEGE,Personal Support Worker,55,21,38.2%,
CONESTOGA COLLEGE,Police Foundations,25,8,32.0%,
CONESTOGA COLLEGE,Powerline Technician,6,0,0.0%,
CONESTOGA COLLEGE,Practical Nursing,122,27,22.1%,
CONESTOGA COLLEGE,Pre-media,9,2,22.2%,
CONESTOGA COLLEGE,Pre-service Firefighter Education And Training,29,3,10.3%,
CONESTOGA COLLEGE,Preparatory Health Sciences,27,10,37.0%,
CONESTOGA COLLEGE,Professional Accounting Practice,15,9,60.0%,
CONESTOGA COLLEGE,Project Management,*,*,*,
CONESTOGA COLLEGE,Public Relations,25,12,48.0%,
CONESTOGA COLLEGE,Public Service,9,5,55.6%,
CONESTOGA COLLEGE,Recreation And Leisure Services,23,6,26.1%,
CONESTOGA COLLEGE,Registered Nurse - Critical Care Nursing,*,*,*,
CONESTOGA COLLEGE,Renewable Energy Techniques,*,*,*,
CONESTOGA COLLEGE,Renovation Technician,20,2,10.0%,
CONESTOGA COLLEGE,Respiratory Therapy,25,5,20.0%,
CONESTOGA COLLEGE,Social Service Worker,24,11,45.8%,
CONESTOGA COLLEGE,Software Engineering Technician,15,5,33.3%,
CONESTOGA COLLEGE,Teachers Of English As A Second/foreign Language,13,7,53.8%,
CONESTOGA COLLEGE,Video Journalism And Documentary Production,*,*,*,
CONESTOGA COLLEGE,Visual Merchandising Arts,17,6,35.3%,
CONESTOGA COLLEGE,Welding Engineering Technician,5,1,20.0%,
CONESTOGA COLLEGE,Welding Engineering Technology,9,1,11.1%,
CONESTOGA COLLEGE,Welder Fitter,8,1,12.5%,
CONESTOGA COLLEGE,Welding Techniques,8,1,12.5%,
CONESTOGA COLLEGE Total,,"2,145",609,28.4%,
,,,, ,
CONFEDERATION COLLEGE,Architectural Technology,*,*,*,
CONFEDERATION COLLEGE,Aviation Engineering Technician,*,*,*,
CONFEDERATION COLLEGE,Aviation Engineering Technology,5,1,20.0%,
CONFEDERATION COLLEGE,Aviation Flight Technology,28,13,46.4%,
CONFEDERATION COLLEGE,Aviation Technician - Aircraft Maintenance,*,*,*,
CONFEDERATION COLLEGE,Broadcasting - Television,13,7,53.8%,
CONFEDERATION COLLEGE,Business - Accounting,18,0,0.0%,
CONFEDERATION COLLEGE,Business - Human Resources,5,0,0.0%,
CONFEDERATION COLLEGE,Business - Marketing,13,3,23.1%,
CONFEDERATION COLLEGE,Business Administration - Accounting,5,0,0.0%,
CONFEDERATION COLLEGE,Business Administration - International Business,*,*,*,
CONFEDERATION COLLEGE,Child And Youth Worker,12,4,33.3%,
CONFEDERATION COLLEGE,Civil Engineering Technology,7,2,28.6%,
CONFEDERATION COLLEGE,Community Mental Health - Multidiscipline,14,1,7.1%,
CONFEDERATION COLLEGE,Community Worker,*,*,*,
CONFEDERATION COLLEGE,Culinary Management,12,4,33.3%,
CONFEDERATION COLLEGE,Dental Assistant,6,2,33.3%,
CONFEDERATION COLLEGE,Dental Hygiene,*,*,*,
CONFEDERATION COLLEGE,Developmental Services Worker,7,2,28.6%,
CONFEDERATION COLLEGE,Early Childhood Education,25,5,20.0%,
CONFEDERATION COLLEGE,Educational Assistant,*,*,*,
CONFEDERATION COLLEGE,Electrical Engineering Technology,15,3,20.0%,
CONFEDERATION COLLEGE,Electronics Engineering Technician,6,3,50.0%,
CONFEDERATION COLLEGE,Environmental Technician,7,1,14.3%,
CONFEDERATION COLLEGE,Film And Television Production,26,8,30.8%,
CONFEDERATION COLLEGE,Film Production,23,6,26.1%,
CONFEDERATION COLLEGE,Forestry Technician,6,2,33.3%,
CONFEDERATION COLLEGE,General Arts And Science,7,1,14.3%,
CONFEDERATION COLLEGE,General Arts And Science - One-year,17,3,17.6%,
CONFEDERATION COLLEGE,Hospitality Management,*,*,*,
CONFEDERATION COLLEGE,Human Resources Management,5,1,20.0%,
CONFEDERATION COLLEGE,Industrial Relations,5,0,0.0%,
CONFEDERATION COLLEGE,Instrumentation Engineering Technician,*,*,*,
CONFEDERATION COLLEGE,Law And Security Administration,16,2,12.5%,
CONFEDERATION COLLEGE,Mechanical Engineering Technician,*,*,*,
CONFEDERATION COLLEGE,Mechanical Techniques,*,*,*,
CONFEDERATION COLLEGE,Medical Imaging Technology - Radiography,*,*,*,
CONFEDERATION COLLEGE,Medical Laboratory Assistant,6,2,33.3%,
CONFEDERATION COLLEGE,Mining And Mineral Processing,6,1,16.7%,
CONFEDERATION COLLEGE,Motive Power Techniques - Heavy Equipment,5,2,40.0%,
CONFEDERATION COLLEGE,Native Child And Family Services,*,*,*,
CONFEDERATION COLLEGE,Office Administration - General,11,2,18.2%,
CONFEDERATION COLLEGE,Paramedic,8,3,37.5%,
CONFEDERATION COLLEGE,Personal Support Worker,16,2,12.5%,
CONFEDERATION COLLEGE,Practical Nursing,49,14,28.6%,
CONFEDERATION COLLEGE,Pre-service Firefighter Education And Training,*,*,*,
CONFEDERATION COLLEGE,Pre-technology,12,3,25.0%,
CONFEDERATION COLLEGE,Preparatory Health Sciences,43,12,27.9%,
CONFEDERATION COLLEGE,Recreation And Leisure Services,*,*,*,
CONFEDERATION COLLEGE,Renovation Techniques,5,1,20.0%,
CONFEDERATION COLLEGE,Small Business,9,2,22.2%,
CONFEDERATION COLLEGE,Social Service Worker,25,7,28.0%,
CONFEDERATION COLLEGE,Stationary Engineering,*,*,*,
CONFEDERATION COLLEGE,Tourism And Travel,8,6,75.0%,
CONFEDERATION COLLEGE,Welding Techniques,19,3,15.8%,
CONFEDERATION COLLEGE Total,,567,145,25.6%,
,, , , ,
DURHAM COLLEGE,9-1-1 Emergency and Call Centre Communications,22,9,40.9%,
DURHAM COLLEGE,Addictions: Treatment And Prevention,38,14,36.8%,
DURHAM COLLEGE,Advanced Care Paramedic,*,*,*,
DURHAM COLLEGE,Advanced Security Management,9,3,33.3%,
DURHAM COLLEGE,Advertising,28,9,32.1%,
DURHAM COLLEGE,Animal Care,55,17,30.9%,
DURHAM COLLEGE,Animation - Television,16,9,56.3%,
DURHAM COLLEGE,Art Fundamentals,15,3,20.0%,
DURHAM COLLEGE,Biomedical Engineering Technology,10,1,10.0%,
DURHAM COLLEGE,Biotechnology Technologist,18,5,27.8%,
DURHAM COLLEGE,Building Construction Technician,12,2,16.7%,
DURHAM COLLEGE,Business Administration,26,11,42.3%,
DURHAM COLLEGE,Business Administration - Accounting,31,10,32.3%,
DURHAM COLLEGE,Business Administration - Human Resources,12,5,41.7%,
DURHAM COLLEGE,Business Administration - Marketing,58,17,29.3%,
DURHAM COLLEGE,Business Administration - Operations Management,16,2,12.5%,
DURHAM COLLEGE,Business Administration - Professional Golf Management,5,3,60.0%,
DURHAM COLLEGE,Business Fundamentals,9,4,44.4%,
DURHAM COLLEGE,Chemical Engineering Technology,26,9,34.6%,
DURHAM COLLEGE,Chemical Laboratory Technician,*,*,*,
DURHAM COLLEGE,Child And Youth Worker,27,8,29.6%,
DURHAM COLLEGE,Communicative Disorders Assistant,15,3,20.0%,
DURHAM COLLEGE,Community Integration Through Co-operative Education,7,1,14.3%,
DURHAM COLLEGE,Computer Programmer,5,1,20.0%,
DURHAM COLLEGE,Computer Programmer Analyst,17,4,23.5%,
DURHAM COLLEGE,Computer Systems Technician,7,1,14.3%,
DURHAM COLLEGE,Computer Systems Technology,22,6,27.3%,
DURHAM COLLEGE,Construction And Hoisting Techniques,11,2,18.2%,
DURHAM COLLEGE,Court And Administrative Tribunal Agent,8,3,37.5%,
DURHAM COLLEGE,Court Reporting - Stenomask,12,9,75.0%,
DURHAM COLLEGE,Culinary Skills - Chef Training,9,1,11.1%,
DURHAM COLLEGE,Dental Assistant,34,13,38.2%,
DURHAM COLLEGE,Dental Hygiene,35,12,34.3%,
DURHAM COLLEGE,Dental Office Administration,17,7,41.2%,
DURHAM COLLEGE,Developmental Services Worker,14,5,35.7%,
DURHAM COLLEGE,Digital Photography And Imaging,31,11,35.5%,
DURHAM COLLEGE,Early Childhood Education,63,21,33.3%,
DURHAM COLLEGE,Electrical Engineering Technician,20,3,15.0%,
DURHAM COLLEGE,Electro-mechanical Engineering Technology,7,2,28.6%,
DURHAM COLLEGE,Electronics Engineering Technician,11,3,27.3%,
DURHAM COLLEGE,Electronics Engineering Technology,14,1,7.1%,
DURHAM COLLEGE,Emergency Services Fundamentals,5,1,20.0%,
DURHAM COLLEGE,Energy Systems Engineering Technician,9,2,22.2%,
DURHAM COLLEGE,Entertainment Administration,37,11,29.7%,
DURHAM COLLEGE,Environmental Technology,11,4,36.4%,
DURHAM COLLEGE,Film And Television Production,27,8,29.6%,
DURHAM COLLEGE,Fine Arts And Crafts - Advanced,6,3,50.0%,
DURHAM COLLEGE,Fire and Life Safety Systems Technician,*,*,*,
DURHAM COLLEGE,Fitness And Health Promotion,43,8,18.6%,
DURHAM COLLEGE,Game Development,16,4,25.0%,
DURHAM COLLEGE,Gas Technician 2,5,0,0.0%,
DURHAM COLLEGE,General Arts And Science,102,32,31.4%,
DURHAM COLLEGE,Golf And Recreational Club Management,*,*,*,
DURHAM COLLEGE,Graphic Design,35,16,45.7%,
DURHAM COLLEGE,"Heating, Air Conditioning And Refrigeration Techniques",11,3,27.3%,
DURHAM COLLEGE,Horticulture Technician,*,*,*,
DURHAM COLLEGE,Hospitality Management,25,10,40.0%,
DURHAM COLLEGE,Human Resources Management,12,3,25.0%,
DURHAM COLLEGE,Human Services Foundation,6,2,33.3%,
DURHAM COLLEGE,International Business Management,*,*,*,
DURHAM COLLEGE,Internet Website Development,18,8,44.4%,
DURHAM COLLEGE,Journalism - Print,30,10,33.3%,
DURHAM COLLEGE,Law And Security Administration,63,19,30.2%,
DURHAM COLLEGE,Legal Administration,39,17,43.6%,
DURHAM COLLEGE,Legal Research and Information Management,7,5,71.4%,
DURHAM COLLEGE,Library And Information Technician,6,1,16.7%,
DURHAM COLLEGE,Mechanical Engineering Technician,31,9,29.0%,
DURHAM COLLEGE,Mechanical Engineering Technology,11,1,9.1%,
DURHAM COLLEGE,Mechanical Technician,11,1,9.1%,
DURHAM COLLEGE,Mediation,7,3,42.9%,
DURHAM COLLEGE,Motive Power Technician,13,3,23.1%,
DURHAM COLLEGE,Office Administration - Executive,15,4,26.7%,
DURHAM COLLEGE,Office Administration - General,26,9,34.6%,
DURHAM COLLEGE,Office Administration - Legal,26,8,30.8%,
DURHAM COLLEGE,Paralegal,28,8,28.6%,
DURHAM COLLEGE,Power Engineering Technician,*,*,*,
DURHAM COLLEGE,Paramedic,20,6,30.0%,
DURHAM COLLEGE,Personal Support Worker,25,15,60.0%,
DURHAM COLLEGE,Police Foundations,69,17,24.6%,
DURHAM COLLEGE,Practical Nursing,78,38,48.7%,
DURHAM COLLEGE,Pre-media,5,1,20.0%,
DURHAM COLLEGE,Pre-service Firefighter Education And Training,35,8,22.9%,
DURHAM COLLEGE,Pre-technology,8,1,12.5%,
DURHAM COLLEGE,Public Relations,32,13,40.6%,
DURHAM COLLEGE,Recreation And Leisure Services,5,0,0.0%,
DURHAM COLLEGE,Social Service Worker,30,11,36.7%,
DURHAM COLLEGE,Sport Management,10,2,20.0%,
DURHAM COLLEGE,Sports Administration,11,1,9.1%,
DURHAM COLLEGE,Sports Management,8,0,0.0%,
DURHAM COLLEGE,Stationary Engineering,18,1,5.6%,
DURHAM COLLEGE,Technology Of Website Development,*,*,*,
DURHAM COLLEGE,Victimology,10,7,70.0%,
DURHAM COLLEGE,Water And Waste Water Technician,10,0,0.0%,
DURHAM COLLEGE,Welding Techniques,13,2,15.4%,
DURHAM COLLEGE,Youth Corrections And Interventions,18,6,33.3%,
DURHAM COLLEGE Total,,"1,897",598,31.5%,
,, , , ,
FANSHAWE COLLEGE,Accounting And Payroll,*,*,*,
FANSHAWE COLLEGE,Advanced Television And Film,20,10,50.0%,
FANSHAWE COLLEGE,Anesthesia Assistant,*,*,*,
FANSHAWE COLLEGE,Architectural Technology,49,13,26.5%,
FANSHAWE COLLEGE,Audio-visual Technician,*,*,*,
FANSHAWE COLLEGE,Autism And Behavioural Science,9,4,44.4%,
FANSHAWE COLLEGE,Aviation Technician - Avionics Maintenance,7,1,14.3%,
FANSHAWE COLLEGE,Bachelor Of Applied Arts (integrated Land Planning Technologies),11,2,18.2%,
FANSHAWE COLLEGE,Bachelor Of Applied Technology (biotechnology),8,4,50.0%,
FANSHAWE COLLEGE,Bachelor of Early Childhood Leadership,11,4,36.4%,
FANSHAWE COLLEGE,Broadcasting - Radio,15,2,13.3%,
FANSHAWE COLLEGE,Broadcasting - Radio And Television,7,5,71.4%,
FANSHAWE COLLEGE,Broadcasting - Television,21,5,23.8%,
FANSHAWE COLLEGE,Business,70,26,37.1%,
FANSHAWE COLLEGE,Business - Accounting,63,20,31.7%,
FANSHAWE COLLEGE,Business - Finance,29,10,34.5%,
FANSHAWE COLLEGE,Business - Human Resources,21,8,38.1%,
FANSHAWE COLLEGE,Business - Marketing,79,22,27.8%,
FANSHAWE COLLEGE,Business - Purchasing,18,7,38.9%,
FANSHAWE COLLEGE,Business Administration,*,*,*,
FANSHAWE COLLEGE,Business Administration - Accounting,15,5,33.3%,
FANSHAWE COLLEGE,Business Administration - Marketing,18,7,38.9%,
FANSHAWE COLLEGE,Business Fundamentals,26,11,42.3%,
FANSHAWE COLLEGE,Chemical Engineering Technology,20,6,30.0%,
FANSHAWE COLLEGE,Child And Youth Worker,77,30,39.0%,
FANSHAWE COLLEGE,Civil Engineering Technology,44,12,27.3%,
FANSHAWE COLLEGE,Collaborative Nursing,17,3,17.6%,
FANSHAWE COLLEGE,Computer Animation,19,4,21.1%,
FANSHAWE COLLEGE,Computer Programmer Analyst,71,16,22.5%,
FANSHAWE COLLEGE,Computer Systems Technician,26,9,34.6%,
FANSHAWE COLLEGE,Computer Systems Technology,53,20,37.7%,
FANSHAWE COLLEGE,Concierge Services - Guest Relations Specialist,8,3,37.5%,
FANSHAWE COLLEGE,Construction Engineering Technician,28,3,10.7%,
FANSHAWE COLLEGE,Construction Engineering Technology,29,2,6.9%,
FANSHAWE COLLEGE,Construction Techniques,*,*,*,
FANSHAWE COLLEGE,Court And Administrative Tribunal Agent,15,6,40.0%,
FANSHAWE COLLEGE,Culinary Management,52,16,30.8%,
FANSHAWE COLLEGE,Dental Assistant,19,5,26.3%,
FANSHAWE COLLEGE,Dental Hygiene,*,*,*,
FANSHAWE COLLEGE,Developmental Services Worker,61,20,32.8%,
FANSHAWE COLLEGE,Digital Design - Game Design,5,1,20.0%,
FANSHAWE COLLEGE,Early Childhood Education,85,19,22.4%,
FANSHAWE COLLEGE,Electrical Engineering Technician,30,5,16.7%,
FANSHAWE COLLEGE,Electrical Engineering Technology,30,8,26.7%,
FANSHAWE COLLEGE,Electrical Techniques,36,6,16.7%,
FANSHAWE COLLEGE,Electro-mechanical Engineering Technician,10,2,20.0%,
FANSHAWE COLLEGE,Electronics Engineering Technician,6,4,66.7%,
FANSHAWE COLLEGE,Electronics Engineering Technology,*,*,*,
FANSHAWE COLLEGE,Emergency Management,6,3,50.0%,
FANSHAWE COLLEGE,Emergency Telecommunications,16,6,37.5%,
FANSHAWE COLLEGE,Environmental Technology,8,3,37.5%,
FANSHAWE COLLEGE,Fashion Arts,20,3,15.0%,
FANSHAWE COLLEGE,Fashion Merchandising,38,11,28.9%,
FANSHAWE COLLEGE,Fine Arts And Crafts - Advanced,29,8,27.6%,
FANSHAWE COLLEGE,Fitness And Health Promotion,38,10,26.3%,
FANSHAWE COLLEGE,Food And Beverage Management,8,0,0.0%,
FANSHAWE COLLEGE,Food And Nutrition Management,21,6,28.6%,
FANSHAWE COLLEGE,General Arts And Science,45,17,37.8%,
FANSHAWE COLLEGE,General Arts And Science - One-year,216,61,28.2%,
FANSHAWE COLLEGE,Geographic Information Systems,*,*,*,
FANSHAWE COLLEGE,Geographic Information Systems Technician,21,5,23.8%,
FANSHAWE COLLEGE,Golf And Recreational Club Management,*,*,*,
FANSHAWE COLLEGE,Graphic Design,71,21,29.6%,
FANSHAWE COLLEGE,Hair Stylist,12,3,25.0%,
FANSHAWE COLLEGE,"Heating, Refrigeration And Air Conditioning Technician",7,1,14.3%,
FANSHAWE COLLEGE,Horticulture Technician,19,6,31.6%,
FANSHAWE COLLEGE,Hospitality Management,16,5,31.3%,
FANSHAWE COLLEGE,Human Resources Management,31,15,48.4%,
FANSHAWE COLLEGE,Human Services Foundation,29,11,37.9%,
FANSHAWE COLLEGE,Information Systems Security,*,*,*,
FANSHAWE COLLEGE,Insurance,22,9,40.9%,
FANSHAWE COLLEGE,Integrated Energy Systems Technician,9,2,22.2%,
FANSHAWE COLLEGE,Interior Decorating,22,4,18.2%,
FANSHAWE COLLEGE,Interior Design,23,10,43.5%,
FANSHAWE COLLEGE,International Business Management,5,1,20.0%,
FANSHAWE COLLEGE,Internet Website Development,18,7,38.9%,
FANSHAWE COLLEGE,Journalism - Broadcast,15,4,26.7%,
FANSHAWE COLLEGE,Landscape Design,37,10,27.0%,
FANSHAWE COLLEGE,Law And Security Administration,23,8,34.8%,
FANSHAWE COLLEGE,Law Clerk,53,22,41.5%,
FANSHAWE COLLEGE,Magnetic Resonance Imaging,5,0,0.0%,
FANSHAWE COLLEGE,Manufacturing Engineering Technician,14,1,7.1%,
FANSHAWE COLLEGE,Manufacturing Engineering Technology,*,*,*,
FANSHAWE COLLEGE,Marketing Management,9,3,33.3%,
