2015 OSAP Repayment Assistance Participation Rates ,,,,
Private Career Colleges in Ontario,,,,
Institution Name,# of Borrowers 2012-13 (1),# of 12-13 Borrowers who received Repayment Assistance (2),2015 Repayment Assistance Participation Rate (3),
HBI COLLEGE-BURLINGTON,8,4,50.0%,
HERZING COLLEGE - OTTAWA,93,46,49.5%,
HERZING COLLEGE - TORONTO,161,77,47.8%,
INSTITUTE OF TECHNICAL TRADES - SCARBOROUGH,33,5,15.2%,
KIKKAWA COLLEGE,32,9,28.1%,
KLC COLLEGE - KINGSTON - 675 Arlington,9,2,22.2%,
KLC COLLEGE - KINGSTON - 742 Arlington,74,31,41.9%,
KLC COLLEGE - RICHMOND HILL,6,2,33.3%,
KLC COLLEGE - WHITBY,18,6,33.3%,
LUBA MERA INST OF AESTHETICS & COSMETOLOGY,10,3,30.0%,
MARCA COLLEGE OF HAIR AND ESTHETICS - BRAMPTON,36,18,50.0%,
MARCA COLLEGE OF HAIR AND ESTHETICS - MISSISSAUGA,43,22,51.2%,
"MARCA COLLEGE OF HAIR AND ESTHETICS - TORONTO, DANFORTH AVE",50,27,54.0%,
"MARCA COLLEGE OF HAIR DESIGN - TORONTO, DUFFERIN AVE",58,25,43.1%,
MARVEL BEAUTY SCHOOLS - BARRIE,18,10,55.6%,
MARVEL BEAUTY SCHOOLS - CAMBRIDGE,14,6,42.9%,
MARVEL BEAUTY SCHOOLS - CHATHAM,11,5,45.5%,
MARVEL BEAUTY SCHOOLS - KITCHENER,9,6,66.7%,
MARVEL BEAUTY SCHOOLS - LONDON,55,30,54.5%,
MARVEL BEAUTY SCHOOLS - MARKHAM,14,5,35.7%,
MARVEL BEAUTY SCHOOLS - ORILLIA,8,4,50.0%,
MARVEL BEAUTY SCHOOLS - TORONTO,45,24,53.3%,
MARVEL BEAUTY SCHOOLS - WINDSOR,37,22,59.5%,
MAXWELL COLLEGE OF ADVANCED TECHNOLOGY,5,1,20.0%,
MEDIX COLLEGE - BRAMPTON,99,49,49.5%,
MEDIX COLLEGE - BRANTFORD,93,33,35.5%,
MEDIX COLLEGE - KITCHENER,120,48,40.0%,
MEDIX COLLEGE - LONDON,182,92,50.5%,
MEDIX COLLEGE - SCARBOROUGH ,179,74,41.3%,
MEDIX COLLEGE - TORONTO,264,123,46.6%,
METALWORKS INSTITUTE     ,26,8,30.8%,
NATIONAL ACADEMY OF HEALTH AND BUSINESS - HAMILTON,106,42,39.6%,
NATIONAL ACADEMY OF HEALTH AND BUSINESS - MISSISSAUGA,149,67,45.0%,
