"","numOfBorrowers","receivedAssistance","AssistanceParticipationRate","institutionName"
"1",-1.05936716821231,-0.949015928389641,0.915752329754566,"ALGOMA UNIVERSITY"
"2",-0.142588482054313,-0.180758957108232,0,"BROCK UNIVERSITY"
"3",0.0147089462684029,0.0665755714158185,0.37066165728161,"CARLETON UNIVERSITY"
"4",-0.530146603644618,-0.512380671330423,0.0109018134494593,"LAKEHEAD UNIVERSITY"
"5",-0.775568494822831,-0.69062734272485,0.348858030382692,"LAURENTIAN UNIVERSITY"
"6",0.38947480712162,0.108028285693592,-0.414268911079446,"MCMASTER UNIVERSITY"
"7",-0.693603268618524,-0.675428014156333,-0.185330828640805,"NIPISSING UNIVERSITY"
"8",-1.10721969911771,-1.02777608551741,-2.81266786996045,"NORTHERN ONTARIO SCHOOL OF MEDICINE"
"9",-0.837634648769444,-0.656083414160039,1.52625388292428,"ONTARIO COLLEGE OF ART AND DESIGN UNIVERSITY"
"10",-0.269563514555782,-0.531725271326717,-1.04657409114807,"QUEEN'S UNIVERSITY"
"11",-1.12948770854894,-1.02915784266,-1.84240647295859,"ROYAL MILITARY COLLEGE OF CANADA"
"12",0.821095160139674,0.961954199815733,0.610501553169711,"RYERSON UNIVERSITY"
"13",-0.572787472768246,-0.397694828495249,1.0138686507997,"TRENT UNIVERSITY"
"14",0.229808441625369,0.10111949998063,-0.0981163210451319,"UNIVERSITY OF GUELPH"
"15",-0.498402845519251,-0.396313071352656,0.534188859023497,"UNIVERSITY OF ONTARIO INSTITUTE OF TECHNOLOGY"
"16",0.551983897226112,0.505974342760221,0.207134455539723,"UNIVERSITY OF OTTAWA/UNIVERSITE D'OTTAWA"
"17",2.82474222151547,2.45425191381559,0.087214507595673,"UNIVERSITY OF TORONTO"
"18",0.402740855293415,-0.0508737857045407,-0.817636008709434,"UNIVERSITY OF WATERLOO"
"19",-0.237819756430415,-0.0315291857082462,0.970261397001861,"UNIVERSITY OF WINDSOR"
"20",0.689382253291135,0.416160128491711,-0.239839895888101,"WESTERN UNIVERSITY"
"21",-0.243505205646898,-0.34795157136192,-0.337956216933232,"WILFRID LAURIER UNIVERSITY"
"22",2.17375828622809,2.86325202802296,1.1991994794405,"YORK UNIVERSITY"
