2014 OSAP Repayment Assistance Participation Rates by Program,,,,,
Ontario Colleges of Applied Arts and Technology,,,,,
INSTITUTION NAME,PROGRAM NAME,# of Borrowers 2011-12 (1),# of 11-12 Borrowers who received Repayment Assistance (2),2014 Repayment Assistance Participation Rate (3),
CENTENNIAL COLLEGE,Occupational Therapist Assistant And Physiotherapist Assistant (ota/pta),17,10,58.8%,
CENTENNIAL COLLEGE,Office Administration - Executive,16,9,56.3%,
CENTENNIAL COLLEGE,Office Administration - General,8,4,50.0%,
CENTENNIAL COLLEGE,Office Administration - Legal,12,7,58.3%,
CENTENNIAL COLLEGE,Office Administration - Medical,68,39,57.4%,
CENTENNIAL COLLEGE,Paralegal,8,5,62.5%,
CENTENNIAL COLLEGE,Paramedic,27,4,14.8%,
CENTENNIAL COLLEGE,Payroll Management,9,7,77.8%,
CENTENNIAL COLLEGE,Personal Support Worker,49,25,51.0%,
CENTENNIAL COLLEGE,Pharmacy Technician,32,14,43.8%,
CENTENNIAL COLLEGE,Police Foundations,85,35,41.2%,
CENTENNIAL COLLEGE,Practical Nursing,194,114,58.8%,
CENTENNIAL COLLEGE,Pre-Service Firefighter Education and Training,19,6,31.6%,
CENTENNIAL COLLEGE,Pre-business,17,10,58.8%,
CENTENNIAL COLLEGE,Pre-health,*,*,*,
CENTENNIAL COLLEGE,Project Management,26,17,65.4%,
CENTENNIAL COLLEGE,Recreation And Leisure Services,19,10,52.6%,
CENTENNIAL COLLEGE,Refrigeration and Air Conditioning Mechanic - Mechanical Engineering Technician,*,*,*,
CENTENNIAL COLLEGE,Social Service Worker,75,41,54.7%,
CENTENNIAL COLLEGE,Software Engineering Technician,*,*,*,
CENTENNIAL COLLEGE,Software Engineering Technology,17,6,35.3%,
CENTENNIAL COLLEGE,Software Engineering Technology-interactive Gaming,9,3,33.3%,
CENTENNIAL COLLEGE,Sports Journalism,5,2,40.0%,
CENTENNIAL COLLEGE,Strategic Management,*,*,*,
CENTENNIAL COLLEGE,Strategic Management - Accounting Specialization,18,15,83.3%,
CENTENNIAL COLLEGE,Technology Foundations,14,6,42.9%,
CENTENNIAL COLLEGE,Truck And Coach Technician,6,3,50.0%,
CENTENNIAL COLLEGE,Truck And Coach Technician Co-Op,9,2,22.2%,
CENTENNIAL COLLEGE,Tourism And Travel,34,16,47.1%,
CENTENNIAL COLLEGE,Tourism Management - Cultural & Heritage Tourism,*,*,*,
CENTENNIAL COLLEGE,Workplace Wellness And Health Promotion,18,9,50.0%,
CENTENNIAL COLLEGE Total,,"2,778","1,382",49.7%,
,, , , ,
COLLEGE BOREAL,Administration De Bureau - Commis En Soins Animaliers,*,*,*,
COLLEGE BOREAL,Animation 2d-3d,*,*,*,
COLLEGE BOREAL,Arts Administration,11,3,27.3%,
COLLEGE BOREAL,Arts Culinaires - Cuisinier,*,*,*,
COLLEGE BOREAL,Assistant En Ergothérapie/Assistant En Physiothérapie,*,*,*,
COLLEGE BOREAL,Business,8,5,62.5%,
COLLEGE BOREAL,Business Administration - Accounting,*,*,*,
COLLEGE BOREAL,Business Administration - Marketing,*,*,*,
COLLEGE BOREAL,Charpentier Menuisier,5,2,40.0%,
COLLEGE BOREAL,Coiffure,9,4,44.4%,
COLLEGE BOREAL,Chemical Engineering Technology,*,*,*,
COLLEGE BOREAL,Chemical Laboratory Technician - Environmental,*,*,*,
COLLEGE BOREAL,Collaborative Nursing,*,*,*,
COLLEGE BOREAL,Correctional Worker,*,*,*,
COLLEGE BOREAL,Dental Assistant (Levels 1 And 11),*,*,*,
COLLEGE BOREAL,Dental Hygiene,5,2,40.0%,
COLLEGE BOREAL,Early Childhood Education,31,18,58.1%,
COLLEGE BOREAL,Electrical Engineering Technician,8,2,25.0%,
COLLEGE BOREAL,Electrical Engineering Technology,*,*,*,
COLLEGE BOREAL,Electrical Techniques,5,0,0.0%,
COLLEGE BOREAL,Esthetician,*,*,*,
COLLEGE BOREAL,Fish And Wildlife Technician,6,0,0.0%,
COLLEGE BOREAL,Fish And Wildlife Technology,*,*,*,
COLLEGE BOREAL,Fitness And Health Promotion,*,*,*,
COLLEGE BOREAL,Funeral Service Education,*,*,*,
COLLEGE BOREAL,General Arts And Science,*,*,*,
COLLEGE BOREAL,Law Clerk,6,4,66.7%,
COLLEGE BOREAL,Mechanical Engineering Technician - Industrial Maintenance,*,*,*,
COLLEGE BOREAL,Medical Radiation Technology,12,2,16.7%,
COLLEGE BOREAL,Message Therapy,*,*,*,
COLLEGE BOREAL,Nursing Assistant,6,0,0.0%,
COLLEGE BOREAL,Office Administration - Executive,8,4,50.0%,
COLLEGE BOREAL,Office Administration - General,8,0,0.0%,
COLLEGE BOREAL,Pre-Sciences De La Sante,7,2,28.6%,
COLLEGE BOREAL,Pharmacy Technician,*,*,*,
COLLEGE BOREAL,Practical Nursing,30,14,46.7%,
COLLEGE BOREAL,Préposés Aux Services De Soutiens Personnels,11,4,36.4%,
COLLEGE BOREAL,Social Service Worker,24,16,66.7%,
COLLEGE BOREAL,Soins Ambulanciers Paramédicaux,8,2,25.0%,
COLLEGE BOREAL,Soutien Technique En Informatique,*,*,*,
COLLEGE BOREAL,Soutien Technique En Gestion De Scène,*,*,*,
COLLEGE BOREAL,Technicien En Réparation De Machinerie Lourde,5,1,20.0%,
COLLEGE BOREAL,Techniques D'éducation Spécialisée,6,0,0.0%,
COLLEGE BOREAL,Techniques De Maintenance Industrielle (Foresterie),*,*,*,
COLLEGE BOREAL,Techniques Des Services Policiers,*,*,*,
COLLEGE BOREAL,Techniques Du Génie De Construction - Civil Et Minier,*,*,*,
COLLEGE BOREAL,Techniques Du Génie Informatique,*,*,*,
COLLEGE BOREAL,Techniques Mécaniques – Fabrication De Prototypes Et Usinage,*,*,*,
COLLEGE BOREAL,Technologie Du Génie De Construction - Civil Et Minier,*,*,*,
COLLEGE BOREAL,Technologie Du Génie Électronique - Industriel,*,*,*,
COLLEGE BOREAL,Veterinary Technician,8,3,37.5%,
COLLEGE BOREAL,Welding Engineering Technician - Inspection,*,*,*,
COLLEGE BOREAL,Échographie Diagnostique,*,*,*,
COLLEGE BOREAL Total,,291,105,36.1%,
,,,,,
CONESTOGA COLLEGE,Advanced Care Paramedic,*,*,*,
CONESTOGA COLLEGE,Advanced Police Studies,6,1,16.7%,
CONESTOGA COLLEGE,Advertising,12,7,58.3%,
CONESTOGA COLLEGE,Applied Health Informatics,5,2,40.0%,
CONESTOGA COLLEGE,Bachelor Of Applied Business - International Business Management,17,7,41.2%,
CONESTOGA COLLEGE,Bachelor Of Applied Health Sciences (Health Informatics Management),14,4,28.6%,
CONESTOGA COLLEGE,Bachelor Of Applied Technology (Architecture - Project And Facility Management),21,4,19.0%,
CONESTOGA COLLEGE,Bachelor Of Applied Technology (Integrated Telecommunication And Computer Technologies),7,1,14.3%,
CONESTOGA COLLEGE,Bachelor Of Community And Criminal Justice,*,*,*,
CONESTOGA COLLEGE,Bachelor Of Engineering (Mechanical Systems Engineering),*,*,*,
CONESTOGA COLLEGE,Bachelor Of Public Relations,5,2,40.0%,
CONESTOGA COLLEGE,Bartending,5,2,40.0%,
CONESTOGA COLLEGE,Biotechnology Technician,15,3,20.0%,
CONESTOGA COLLEGE,Bookkeeping,9,5,55.6%,
CONESTOGA COLLEGE,Broadcast - Radio,10,5,50.0%,
CONESTOGA COLLEGE,Broadcast - Television,25,0,0.0%,
CONESTOGA COLLEGE,Business,36,9,25.0%,
CONESTOGA COLLEGE,Business - Insurance,9,3,33.3%,
CONESTOGA COLLEGE,Business - Marketing,15,2,13.3%,
CONESTOGA COLLEGE,Business Administration,36,11,30.6%,
CONESTOGA COLLEGE,Business Administration - Accounting,48,11,22.9%,
CONESTOGA COLLEGE,Business Administration - Financial Planning,21,8,38.1%,
CONESTOGA COLLEGE,Business Administration - Marketing,36,10,27.8%,
CONESTOGA COLLEGE,Business Administration – Supply Chain And Operations Management,19,6,31.6%,
CONESTOGA COLLEGE,Business Foundations,24,10,41.7%,
CONESTOGA COLLEGE,Community And Criminal Justice,5,2,40.0%,
CONESTOGA COLLEGE,Career Development Practitioner,6,4,66.7%,
CONESTOGA COLLEGE,Civil Engineering Technology,22,6,27.3%,
CONESTOGA COLLEGE,Civil Engineering Technology - Environmental,*,*,*,
CONESTOGA COLLEGE,Collaborative Nursing,66,12,18.2%,
CONESTOGA COLLEGE,Community And Social Service Management,8,5,62.5%,
CONESTOGA COLLEGE,Computer Applications Development,7,4,57.1%,
CONESTOGA COLLEGE,Computer Engineering Technology,20,2,10.0%,
CONESTOGA COLLEGE,Computer Programmer,6,4,66.7%,
CONESTOGA COLLEGE,Computer Programmer Analyst,23,8,34.8%,
CONESTOGA COLLEGE,Construction Engineering Technology - Architecture,31,6,19.4%,
CONESTOGA COLLEGE,Construction Techniques,23,2,8.7%,
CONESTOGA COLLEGE,Culinary Management,9,2,22.2%,
CONESTOGA COLLEGE,Culinary Skills - Chef Training,17,6,35.3%,
CONESTOGA COLLEGE,Dietetic Technician,*,*,*,
CONESTOGA COLLEGE,Design And Communications Fundamentals,8,3,37.5%,
CONESTOGA COLLEGE,Early Childhood Education,95,36,37.9%,
CONESTOGA COLLEGE,Electrical Engineering Technician,6,3,50.0%,
CONESTOGA COLLEGE,Electrical Engineering Technician - Industrial,28,2,7.1%,
CONESTOGA COLLEGE,Electrical Engineering Technology,16,1,6.3%,
CONESTOGA COLLEGE,Electronics Engineering Technician,5,1,20.0%,
CONESTOGA COLLEGE,Electronics Engineering Technology - Telecommunications Systems,9,0,0.0%,
CONESTOGA COLLEGE,Energy Systems Engineering Technology,*,*,*,
CONESTOGA COLLEGE,Environmental Engineering Applications,12,1,8.3%,
CONESTOGA COLLEGE,Event Management,7,3,42.9%,
CONESTOGA COLLEGE,Financial Planning Services,*,*,*,
CONESTOGA COLLEGE,Fitness And Health Promotion,15,0,0.0%,
CONESTOGA COLLEGE,Food Processing Technician,*,*,*,
CONESTOGA COLLEGE,General Arts And Science,88,29,33.0%,
CONESTOGA COLLEGE,General Arts And Science - One-Year,*,*,*,
CONESTOGA COLLEGE,Global Business Management,6,1,16.7%,
CONESTOGA COLLEGE,Graphic Design,19,2,10.5%,
CONESTOGA COLLEGE,Hospitality Operations - Food And Beverage,*,*,*,
CONESTOGA COLLEGE,Health Office Administration,17,4,23.5%,
CONESTOGA COLLEGE,Hearing Instrument Specialist,9,4,44.4%,
CONESTOGA COLLEGE,"Heating, Refrigeration And Air Conditioning Technician",*,*,*,
CONESTOGA COLLEGE,Heavy Equipment Operator,14,1,7.1%,
CONESTOGA COLLEGE,Heavy Equipment Techniques,*,*,*,
CONESTOGA COLLEGE,Hospitality And Tourism Management,7,1,14.3%,
CONESTOGA COLLEGE,Hospitality Management - Hotel And Restaurant,8,1,12.5%,
CONESTOGA COLLEGE,Human Services Foundation,16,5,31.3%,
CONESTOGA COLLEGE,Industrial Maintenance Mechanic,5,2,40.0%,
CONESTOGA COLLEGE,Information Technology Support Services,14,3,21.4%,
CONESTOGA COLLEGE,Integrated Marketing Communications,6,2,33.3%,
CONESTOGA COLLEGE,Interior Decorating,12,1,8.3%,
CONESTOGA COLLEGE,Journalism - Broadcast,13,6,46.2%,
CONESTOGA COLLEGE,Journalism - Print,12,3,25.0%,
CONESTOGA COLLEGE,Law And Security Administration,50,9,18.0%,
CONESTOGA COLLEGE,Mechanical Engineering Technician,*,*,*,
CONESTOGA COLLEGE,Mechanical Engineering Technology - Automated Manufacturing,*,*,*,
CONESTOGA COLLEGE,Mechanical Engineering Technology - Design And Analysis,10,2,20.0%,
CONESTOGA COLLEGE,Mechanical Engineering Technology - Robotics And Automation,18,5,27.8%,
CONESTOGA COLLEGE,Mechanical Technician Co-Op/Apprenticeship - Tool And Die,*,*,*,
CONESTOGA COLLEGE,Mechanical Technician Co_Op/Apprenticeship - General Machinist,7,1,14.3%,
CONESTOGA COLLEGE,Mechanical Techniques - Plumbing,5,1,20.0%,
CONESTOGA COLLEGE,Mechanical Techniques-Millwright,7,1,14.3%,
CONESTOGA COLLEGE,Media And Communications Fundamentals,9,5,55.6%,
CONESTOGA COLLEGE,Motive Power Fundamentals - Automotive Service,6,3,50.0%,
CONESTOGA COLLEGE,Motive Power Fundamentals - Truck And Coach,8,1,12.5%,
CONESTOGA COLLEGE,Motive Power Fundamentals - Truck Trailer Service,32,15,46.9%,
CONESTOGA COLLEGE,Motive Power Technician,7,0,0.0%,
CONESTOGA COLLEGE,Motive Power Technician – Motorcycle And Power Sport Vehicles,*,*,*,
CONESTOGA COLLEGE,New Media - Convergence,*,*,*,
CONESTOGA COLLEGE,Occupational Therapist Assistant/Physiotherapist Assistant (Ota/Pta),13,4,30.8%,
CONESTOGA COLLEGE,Office Administration - Executive,13,3,23.1%,
CONESTOGA COLLEGE,Office Administration - General,18,7,38.9%,
CONESTOGA COLLEGE,Office Administration - Legal,12,2,16.7%,
CONESTOGA COLLEGE,Paramedic,13,8,61.5%,
CONESTOGA COLLEGE,Personal Support Worker,59,21,35.6%,
CONESTOGA COLLEGE,Police Foundations,23,6,26.1%,
CONESTOGA COLLEGE,Powerline Technician,11,1,9.1%,
CONESTOGA COLLEGE,Practical Nursing,123,35,28.5%,
CONESTOGA COLLEGE,Pre-Health Sciences,19,3,15.8%,
CONESTOGA COLLEGE,Pre-Service Firefighter Education And Training,18,4,22.2%,
CONESTOGA COLLEGE,Pressure Systems Welding,*,*,*,
CONESTOGA COLLEGE,Professional Accounting Practice,10,5,50.0%,
CONESTOGA COLLEGE,Public Relations,11,3,27.3%,
CONESTOGA COLLEGE,Recreation And Leisure Services,16,5,31.3%,
CONESTOGA COLLEGE,Registered Nurse - Critical Care Nursing,*,*,*,
CONESTOGA COLLEGE,Renewable Energy Techniques,*,*,*,
CONESTOGA COLLEGE,Renovation Technician,15,4,26.7%,
CONESTOGA COLLEGE,Respiratory Therapy,15,3,20.0%,
CONESTOGA COLLEGE,Social Service Worker,15,8,53.3%,
CONESTOGA COLLEGE,Software Engineering Technician,25,6,24.0%,
CONESTOGA COLLEGE,Teaching English As A Second Language,10,5,50.0%,
CONESTOGA COLLEGE,Videography - Broadcast Journalism/Documentary,5,4,80.0%,
CONESTOGA COLLEGE,Visual Merchandising Arts,8,3,37.5%,
CONESTOGA COLLEGE,Welding Engineering Technician,*,*,*,
CONESTOGA COLLEGE,Welding Engineering Technology - Manufacturing,6,1,16.7%,
CONESTOGA COLLEGE,Welding Fitter,*,*,*,
CONESTOGA COLLEGE,Welding Techniques,*,*,*,
CONESTOGA COLLEGE,Woodworking Technician,10,1,10.0%,
CONESTOGA COLLEGE,Woodworking Technology,8,2,25.0%,
CONESTOGA COLLEGE,Woodworking Technology - Architectural Millwork,5,2,40.0%,
CONESTOGA COLLEGE Total,,"1,769",492,27.8%,
,,, , ,
CONFEDERATION COLLEGE,Aboriginal Community Advocacy,*,*,*,
CONFEDERATION COLLEGE,Aerospace Manufacturing Engineering Technician,*,*,*,
CONFEDERATION COLLEGE,Aerospace Manufacturing Engineering Technology,15,4,26.7%,
CONFEDERATION COLLEGE,Architectural Technology,8,0,0.0%,
CONFEDERATION COLLEGE,Aviation - Flight Management,25,13,52.0%,
CONFEDERATION COLLEGE,Aviation Technician - Aircraft Maintenance,*,*,*,
CONFEDERATION COLLEGE,Broadcasting - Television Production,10,0,0.0%,
CONFEDERATION COLLEGE,Business - Accounting,13,5,38.5%,
CONFEDERATION COLLEGE,Business - Human Resources,6,1,16.7%,
CONFEDERATION COLLEGE,Business - Marketing,12,4,33.3%,
CONFEDERATION COLLEGE,Business Administration - Accounting,*,*,*,
CONFEDERATION COLLEGE,Business-International Business,*,*,*,
CONFEDERATION COLLEGE,Child And Youth Worker,16,1,6.3%,
CONFEDERATION COLLEGE,Civil Engineering Technology,7,2,28.6%,
CONFEDERATION COLLEGE,College Access,*,*,*,
CONFEDERATION COLLEGE,Concurrent Disorders,12,7,58.3%,
CONFEDERATION COLLEGE,Construction Techniques,5,0,0.0%,
CONFEDERATION COLLEGE,Culinary Management,10,3,30.0%,
CONFEDERATION COLLEGE,Dental Assistant,5,2,40.0%,
CONFEDERATION COLLEGE,Dental Hygiene,15,5,33.3%,
CONFEDERATION COLLEGE,Developmental Services Worker,13,5,38.5%,
CONFEDERATION COLLEGE,Early Childhood Education,18,7,38.9%,
CONFEDERATION COLLEGE,Educational Assistant,*,*,*,
CONFEDERATION COLLEGE,Electrical Engineering Technology - Computer Control,7,0,0.0%,
CONFEDERATION COLLEGE,Electronics Engineering Technician - Computers,*,*,*,
CONFEDERATION COLLEGE,Entrepreneurship,9,4,44.4%,
CONFEDERATION COLLEGE,Environmental Technician,10,4,40.0%,
CONFEDERATION COLLEGE,Film Production,15,5,33.3%,
CONFEDERATION COLLEGE,Forestry Technician,*,*,*,
CONFEDERATION COLLEGE,General Arts And Science,*,*,*,
CONFEDERATION COLLEGE,General Arts And Science - One-Year,7,2,28.6%,
CONFEDERATION COLLEGE,"Hospitality Management-Hotel, Restaurant And Resort",*,*,*,
CONFEDERATION COLLEGE,Human Resource Management,*,*,*,
CONFEDERATION COLLEGE,Human Resources Management,*,*,*,
CONFEDERATION COLLEGE,Instrumentation Engineering Technician – Process Automation And Control,*,*,*,
CONFEDERATION COLLEGE,Law And Security Administration,21,6,28.6%,
CONFEDERATION COLLEGE,Mechanical Techniques - Multiskilling,*,*,*,
CONFEDERATION COLLEGE,Media Arts - Multimedia Production,13,2,15.4%,
CONFEDERATION COLLEGE,Medical Laboratory Assistant,6,1,16.7%,
CONFEDERATION COLLEGE,Mining Techniques,*,*,*,
CONFEDERATION COLLEGE,Motive Power Techniques - Equipment Systems,*,*,*,
CONFEDERATION COLLEGE,Motive Power Techniques - Heavy Equipment,*,*,*,
CONFEDERATION COLLEGE,Native Child And Family Services,7,2,28.6%,
CONFEDERATION COLLEGE,Office Administration - General,8,1,12.5%,
CONFEDERATION COLLEGE,Paramedic,8,1,12.5%,
CONFEDERATION COLLEGE,Personal Support Worker,26,6,23.1%,
CONFEDERATION COLLEGE,Power Engineering Technician,*,*,*,
CONFEDERATION COLLEGE,Practical Nursing,40,16,40.0%,
CONFEDERATION COLLEGE,Pre-Service Firefighter Education And Training,*,*,*,
CONFEDERATION COLLEGE,Pre-Health Sciences,44,16,36.4%,
CONFEDERATION COLLEGE,Pre-Technology,14,4,28.6%,
CONFEDERATION COLLEGE,Social Service Worker,35,18,51.4%,
CONFEDERATION COLLEGE,Tourism And Travel - Adventure And Eco-Tourism,6,1,16.7%,
CONFEDERATION COLLEGE,Welding Techniques,7,0,0.0%,
CONFEDERATION COLLEGE Total,,524,157,30.0%,
,, , , ,
DURHAM COLLEGE,9-1-1 Emergency And Call Communications,20,5,25.0%,
DURHAM COLLEGE,Addictions And Mental Health,23,7,30.4%,
DURHAM COLLEGE,Advanced Care Paramedic,*,*,*,
DURHAM COLLEGE,Advanced Law Enforcement And Investigations,11,2,18.2%,
DURHAM COLLEGE,Advertising,21,7,33.3%,
DURHAM COLLEGE,Animation - Digital Arts,25,8,32.0%,
DURHAM COLLEGE,Biomedical Engineering Technology,6,0,0.0%,
DURHAM COLLEGE,Biotechnology Technologist,13,7,53.8%,
DURHAM COLLEGE,Business Administration,28,13,46.4%,
DURHAM COLLEGE,Business Administration - Accounting,29,8,27.6%,
DURHAM COLLEGE,Business Administration - Marketing,16,6,37.5%,
DURHAM COLLEGE,Business Administration - Operations Management,12,3,25.0%,
DURHAM COLLEGE,Business Administration - Professional Golf Management,5,3,60.0%,
DURHAM COLLEGE,Business Administration 1st Year (Core),41,11,26.8%,
DURHAM COLLEGE,Business Fundamentals,9,2,22.2%,
DURHAM COLLEGE,Chemical Engineering Technology,6,1,16.7%,
DURHAM COLLEGE,Computer Systems Technician,7,2,28.6%,
DURHAM COLLEGE,Chemical Laboratory Technician,*,*,*,
DURHAM COLLEGE,Chemical Technology - Food And Drug,17,7,41.2%,
DURHAM COLLEGE,Child And Youth Worker,30,6,20.0%,
DURHAM COLLEGE,Communicative Disorders Assistant,12,4,33.3%,
DURHAM COLLEGE,Community Integration Through Co-Operative Education,7,1,14.3%,
DURHAM COLLEGE,Computer Programmer,*,*,*,
DURHAM COLLEGE,Computer Programmer Analyst,12,3,25.0%,
DURHAM COLLEGE,Computer Systems Technology,27,6,22.2%,
DURHAM COLLEGE,Construction And Hoisting Techniques,*,*,*,
DURHAM COLLEGE,Court Support Services,11,5,45.5%,
DURHAM COLLEGE,Culinary Skills,16,3,18.8%,
DURHAM COLLEGE,Dental Assistant,31,4,12.9%,
DURHAM COLLEGE,Dental Hygiene,34,14,41.2%,
DURHAM COLLEGE,Dental Reception And Administration,13,6,46.2%,
DURHAM COLLEGE,Developmental Services Worker,*,*,*,
DURHAM COLLEGE,Digital Photography,7,2,28.6%,
DURHAM COLLEGE,Digital Video Production,5,0,0.0%,
DURHAM COLLEGE,Early Childhood Education,58,18,31.0%,
DURHAM COLLEGE,Electrical Engineering Technician,14,3,21.4%,
DURHAM COLLEGE,Electro-Mechanical Engineering Technology - Industrial Automation And Robotics - Mechatronics,8,2,25.0%,
DURHAM COLLEGE,Electronics Engineering Technician,5,2,40.0%,
DURHAM COLLEGE,Electronics Engineering Technology,9,2,22.2%,
DURHAM COLLEGE,Emergency Services Fundamentals,*,*,*,
DURHAM COLLEGE,Environmental Technology,14,7,50.0%,
DURHAM COLLEGE,Fine Arts - Advanced,*,*,*,
DURHAM COLLEGE,Fitness And Health Promotion,22,6,27.3%,
DURHAM COLLEGE,Foundations In Art And Design,14,4,28.6%,
DURHAM COLLEGE,Game Development,13,3,23.1%,
DURHAM COLLEGE,Gas Technician 2,*,*,*,
DURHAM COLLEGE,General Arts And Science,99,38,38.4%,
DURHAM COLLEGE,Graphic Design,28,13,46.4%,
DURHAM COLLEGE,Heating Ventilation And Air Conditioning Techniques,10,1,10.0%,
DURHAM COLLEGE,"Hospitality Management - Hotel, Restaurant And Tourism",15,4,26.7%,
DURHAM COLLEGE,Human Resource Management,20,7,35.0%,
DURHAM COLLEGE,Human Resources Management,13,4,30.8%,
DURHAM COLLEGE,Journalism - Print,26,4,15.4%,
DURHAM COLLEGE,Law And Security Administration,60,19,31.7%,
DURHAM COLLEGE,Legal Administration,26,8,30.8%,
DURHAM COLLEGE,Mechanical Engineering Technician,8,1,12.5%,
DURHAM COLLEGE,Mechanical Engineering Technician (Non Destructive Evaluation),11,2,18.2%,
DURHAM COLLEGE,Mechanical Engineering Technology,11,2,18.2%,
DURHAM COLLEGE,Mechanical Technician - Mechanical Maintenance And Control,*,*,*,
DURHAM COLLEGE,Motive Power Technician - Service And Management,7,2,28.6%,
DURHAM COLLEGE,Multimedia Design,16,4,25.0%,
DURHAM COLLEGE,Music Business Administration,27,9,33.3%,
DURHAM COLLEGE,Office Administration - Executive,6,2,33.3%,
DURHAM COLLEGE,Office Administration - General,15,6,40.0%,
DURHAM COLLEGE,Office Administration - Legal,20,6,30.0%,
DURHAM COLLEGE,Paralegal,38,13,34.2%,
DURHAM COLLEGE,Paramedic,12,5,41.7%,
DURHAM COLLEGE,Personal Support Worker,14,6,42.9%,
DURHAM COLLEGE,Police Foundations,52,12,23.1%,
DURHAM COLLEGE,Power Engineering Technician,15,1,6.7%,
DURHAM COLLEGE,Practical Nursing,71,31,43.7%,
DURHAM COLLEGE,Pre-Media,*,*,*,
DURHAM COLLEGE,Pre-Service Firefighter Education And Training,23,4,17.4%,
DURHAM COLLEGE,Public Relations,14,5,35.7%,
DURHAM COLLEGE,Renewable Energy Technician,14,4,28.6%,
DURHAM COLLEGE,Social Service Worker,28,9,32.1%,
DURHAM COLLEGE,Sport Business Management,8,2,25.0%,
DURHAM COLLEGE,Sport Management,15,3,20.0%,
DURHAM COLLEGE,Sports Administration,9,3,33.3%,
DURHAM COLLEGE,VFX And Digital Cinema,*,*,*,
DURHAM COLLEGE,Veterinary Assistant,17,6,35.3%,
DURHAM COLLEGE,Victimology,8,4,50.0%,
DURHAM COLLEGE,Water Quality Technician,*,*,*,
DURHAM COLLEGE,Web Design And Development,*,*,*,
DURHAM COLLEGE,Web Development,9,2,22.2%,
DURHAM COLLEGE,Welding Techniques,8,1,12.5%,
DURHAM COLLEGE,Youth Corrections And Interventions,15,7,46.7%,
DURHAM COLLEGE Total,,"1,475",459,31.1%,
,, , , ,
FANSHAWE COLLEGE,3d Animation And Character Design,6,2,33.3%,
FANSHAWE COLLEGE,Advanced Filmmaking,14,8,57.1%,
FANSHAWE COLLEGE,Architectural Technology,44,7,15.9%,
FANSHAWE COLLEGE,Audio Post-Production,8,4,50.0%,
FANSHAWE COLLEGE,Autism And Behavioural Science,18,5,27.8%,
FANSHAWE COLLEGE,Aviation Technician – Avionics Maintenance,*,*,*,
FANSHAWE COLLEGE,Bachelor Of Applied Arts (Integrated Land Planning Technologies),8,3,37.5%,
FANSHAWE COLLEGE,Bachelor Of Applied Technology - Biotechnology,12,4,33.3%,
FANSHAWE COLLEGE,Bachelor Of Applied Arts (Early Childhood Leadership),5,1,20.0%,
FANSHAWE COLLEGE,Broadcasting - Radio,21,6,28.6%,
FANSHAWE COLLEGE,Broadcasting - Television,30,11,36.7%,
FANSHAWE COLLEGE,Broadcasting Journalism - Television News,5,1,20.0%,
FANSHAWE COLLEGE,Business,59,14,23.7%,
FANSHAWE COLLEGE,Business - Accounting,73,31,42.5%,
FANSHAWE COLLEGE,Business - Human Resources,27,11,40.7%,
FANSHAWE COLLEGE,Business - Information Systems,*,*,*,
FANSHAWE COLLEGE,Business - Insurance,18,5,27.8%,
FANSHAWE COLLEGE,Business - Marketing,64,18,28.1%,
FANSHAWE COLLEGE,Business - Purchasing,9,5,55.6%,
FANSHAWE COLLEGE,Business Administration - Accounting,18,6,33.3%,
FANSHAWE COLLEGE,Business Administration - Marketing,12,4,33.3%,
FANSHAWE COLLEGE,Business Administration – Leadership And Management,*,*,*,
FANSHAWE COLLEGE,Business Foundations,29,8,27.6%,
FANSHAWE COLLEGE,Child And Youth Worker,84,25,29.8%,
FANSHAWE COLLEGE,Civil Engineering Technology,29,6,20.7%,
FANSHAWE COLLEGE,Collaborative Nursing,12,2,16.7%,
FANSHAWE COLLEGE,Computer Programmer Analyst,62,14,22.6%,
FANSHAWE COLLEGE,Computer Systems Technician,21,11,52.4%,
FANSHAWE COLLEGE,Computer Systems Technology,47,11,23.4%,
FANSHAWE COLLEGE,Concierge Services - Guest Relations Specialist,*,*,*,
FANSHAWE COLLEGE,Construction Carpentry Techniques,*,*,*,
FANSHAWE COLLEGE,Construction Engineering Technician - Supervisor,22,6,27.3%,
FANSHAWE COLLEGE,Construction Engineering Technology - Management,26,4,15.4%,
FANSHAWE COLLEGE,Corporate Communication And Public Relations,25,6,24.0%,
FANSHAWE COLLEGE,Culinary Management,61,16,26.2%,
FANSHAWE COLLEGE,Culinary Skills - Chef Training,*,*,*,
FANSHAWE COLLEGE,Dental Assistant,18,4,22.2%,
FANSHAWE COLLEGE,Dental Hygiene,24,9,37.5%,
FANSHAWE COLLEGE,Developmental Services Worker,76,23,30.3%,
FANSHAWE COLLEGE,Early Childhood Education,84,27,32.1%,
FANSHAWE COLLEGE,Electrical Engineering Technician,23,9,39.1%,
FANSHAWE COLLEGE,Electrical Engineering Technology,28,6,21.4%,
FANSHAWE COLLEGE,Electrical Techniques,44,12,27.3%,
FANSHAWE COLLEGE,Electromechanical Engineering Technician,7,1,14.3%,
FANSHAWE COLLEGE,Electronics Engineering Technician - Industrial Controls,5,1,20.0%,
FANSHAWE COLLEGE,Electronics Engineering Technology,12,0,0.0%,
FANSHAWE COLLEGE,Emergency Management,*,*,*,
FANSHAWE COLLEGE,Emergency Telecommunications,14,3,21.4%,
FANSHAWE COLLEGE,Entrepreneurship,8,3,37.5%,
