2014 OSAP Repayment Assistance Participation Rates by Program,,,,,
Ontario Colleges of Applied Arts and Technology,,,,,
INSTITUTION NAME,PROGRAM NAME,# of Borrowers 2011-12 (1),# of 11-12 Borrowers who received Repayment Assistance (2),2014 Repayment Assistance Participation Rate (3),
ALGONQUIN COLLEGE,Office Administration - Executive,12,7,58.3%,
ALGONQUIN COLLEGE,Office Administration - General,57,28,49.1%,
ALGONQUIN COLLEGE,Office Administration - Legal,8,4,50.0%,
ALGONQUIN COLLEGE,Organizational Quality Management,7,4,57.1%,
ALGONQUIN COLLEGE,Orientation To Nursing In Ontario For Nurses,*,*,*,
ALGONQUIN COLLEGE,Outdoor Adventure,43,11,25.6%,
ALGONQUIN COLLEGE,Outdoor Adventure Naturalist,8,2,25.0%,
ALGONQUIN COLLEGE,Paralegal,23,9,39.1%,
ALGONQUIN COLLEGE,Paramedic,21,6,28.6%,
ALGONQUIN COLLEGE,Performance Coaching,*,*,*,
ALGONQUIN COLLEGE,Personal Support Worker,70,24,34.3%,
ALGONQUIN COLLEGE,Photography,22,3,13.6%,
ALGONQUIN COLLEGE,Photonics Engineering Technician,*,*,*,
ALGONQUIN COLLEGE,Police Foundations,134,50,37.3%,
ALGONQUIN COLLEGE,Powerline Technician,*,*,*,
ALGONQUIN COLLEGE,Practical Nursing,98,37,37.8%,
ALGONQUIN COLLEGE,Pre-Service Firefighter Education And Training,17,5,29.4%,
ALGONQUIN COLLEGE,Print Media,11,3,27.3%,
ALGONQUIN COLLEGE,Professional Writing,14,3,21.4%,
ALGONQUIN COLLEGE,Public Relations,13,3,23.1%,
ALGONQUIN COLLEGE,Radiation Safety,*,*,*,
ALGONQUIN COLLEGE,Recreation And Leisure Services,16,7,43.8%,
ALGONQUIN COLLEGE,Recreation Facilities Management,9,5,55.6%,
ALGONQUIN COLLEGE,Respiratory Therapy,9,1,11.1%,
ALGONQUIN COLLEGE,Scriptwriting,9,7,77.8%,
ALGONQUIN COLLEGE,Small And Medium Enterprise Management,40,15,37.5%,
ALGONQUIN COLLEGE,Social Service Worker,62,31,50.0%,
ALGONQUIN COLLEGE,Sports Management,17,5,29.4%,
ALGONQUIN COLLEGE,Teachers Of English As A Second/Foreign Language,16,9,56.3%,
ALGONQUIN COLLEGE,Technical Writer,16,4,25.0%,
ALGONQUIN COLLEGE,Theatre Arts,5,3,60.0%,
ALGONQUIN COLLEGE,Tourism And Travel,37,11,29.7%,
