2014 OSAP Repayment Assistance Participation Rates ,,,,,,,
Private Career Colleges in Ontario,,,,,,,
Institution Name,# of Borrowers 2011-12 (1),# of 11-12 Borrowers who received Repayment Assistance (2),2014 Repayment Assistance Participation Rate (3),,,,
GINA'S COLLEGE ADVANCED AESTHETICS - MISSISSAUGA,7,3,42.9%,,,,
GINA'S COLLEGE ADVANCED AESTHETICS - OTTAWA,*,*,*,,,,
GINA'S COLLEGE ADVANCED AESTHETICS - WATERLOO,18,9,50.0%,,,,
HAMILTON SCHOOL OF CAREERS,*,*,*,,,,
HARRIS INSTITUTE FOR THE ARTS,27,7,25.9%,,,,
HBI COLLEGE - BURLINGTON,*,*,*,,,,
HBI COLLEGE - MISSISSAUGA,*,*,*,,,,
HERZING COLLEGE - OTTAWA,116,52,44.8%,,,,
HERZING COLLEGE - TORONTO,210,100,47.6%,,,,
INSTITUTE OF TECHNICAL TRADES - SCARBOROUGH,24,9,37.5%,,,,
KIKKAWA COLLEGE,24,12,50.0%,,,,
KLC COLLEGE - KINGSTON,66,26,39.4%,,,,
KLC COLLEGE - RICHMOND HILL,*,*,*,,,,
KLC COLLEGE - WHITBY,9,4,44.4%,,,,
LUBA MERA SCHOOL OF AESTHETICS AND COSMETOLOGY,12,4,33.3%,,,,
MARCA COLLEGE OF HAIR AND ESTHETICS - BRAMPTON,43,18,41.9%,,,,
MARCA COLLEGE OF HAIR AND ESTHETICS - MISSISSAUGA,36,19,52.8%,,,,
"MARCA COLLEGE OF HAIR AND ESTHETICS - TORONTO, DANFORTH AVE",68,39,57.4%,,,,
"MARCA COLLEGE OF HAIR DESIGN - TORONTO, DUFFERIN AVE",42,23,54.8%,,,,
MARVEL BEAUTY SCHOOLS - BARRIE,17,7,41.2%,,,,
MARVEL BEAUTY SCHOOLS - CAMBRIDGE,7,2,28.6%,,,,
MARVEL BEAUTY SCHOOLS - CHATHAM,*,*,*,,,,
MARVEL BEAUTY SCHOOLS - KITCHENER,8,3,37.5%,,,,
MARVEL BEAUTY SCHOOLS - LONDON,50,30,60.0%,,,,
MARVEL BEAUTY SCHOOLS - MARKHAM,28,11,39.3%,,,,
MARVEL BEAUTY SCHOOLS - ORILLIA,14,7,50.0%,,,,
MARVEL BEAUTY SCHOOLS - OTTAWA,*,*,*,,,,
MARVEL BEAUTY SCHOOLS - TORONTO,41,20,48.8%,,,,
MARVEL BEAUTY SCHOOLS - WINDSOR,38,24,63.2%,,,,
MAXWELL COLLEGE OF ADVANCED TECHNOLOGY,17,4,23.5%,,,,
MEDIX COLLEGE - BRAMPTON,110,54,49.1%,,,,
MEDIX COLLEGE - BRANTFORD,100,27,27.0%,,,,
MEDIX COLLEGE - KITCHENER,109,34,31.2%,,,,
MEDIX COLLEGE - LONDON,171,74,43.3%,,,,
MEDIX COLLEGE - SCARBOROUGH ,190,105,55.3%,,,,
MEDIX COLLEGE - TORONTO,322,147,45.7%,,,,
NATIONAL ACADEMY OF HEALTH AND BUSINESS - HAMILTON,100,34,34.0%,,,,
NATIONAL ACADEMY OF HEALTH AND BUSINESS - MISSISSAUGA,131,49,37.4%,,,,
NORTH AMERICAN COLLEGE OF INFORMATION AND TECHNOLGY,54,28,51.9%,,,,
NORTH AMERICAN TRADE SCHOOLS,167,40,24.0%,,,,
NU-WAVE SCHOOL OF HAIR DESIGN,7,2,28.6%,,,,
ONTARIO COLLEGE OF HEALTH AND TECHNOLOGY,8,1,12.5%,,,,
ONTARIO INSTITUTE OF AUDIO RECORDING TECHNOLOGY,24,4,16.7%,,,,
OTTAWA ACADEMY,32,13,40.6%,,,,
"OXFORD COLLEGE OF ARTS, BUSINESS AND TECHNOLOGY",122,63,51.6%,,,,
PEBEC SCHOOL OF ESTHETICS,17,6,35.3%,,,,
RAC DIGITAL ARTS COLLEGE,56,16,28.6%,,,,
RANDOLPH ACADEMY FOR THE PERFORMING ARTS,22,12,54.5%,,,,
RCC INSTITUTE OF TECHNOLOGY - CONCORD,166,63,38.0%,,,,
