9.2 Value of full-time loans by jurisdiction since 1964 ($ million),,,,,,
REF_YEAR,GEO ,LoanAmount,,,,
,Saskatchewan,7.7,,,,
,Alberta,25.4,,,,
,British Columbia,23.6,,,,
,Yukon,0.2,,,,
1982-1983,Canada,280.3,,,,
,Newfoundland and Labrador,10.8,,,,
,Prince Edward Island,2.8,,,,
,Nova Scotia,18.6,,,,
,New Brunswick,15.3,,,,
,Ontario,144.3,,,,
,Manitoba,13.6,,,,
,Saskatchewan,10.5,,,,
,Alberta,30.3,,,,
,British Columbia,34.1,,,,
,Yukon,0.2,,,,
1983-1984,Canada,454.9,,,,
,Newfoundland and Labrador,13.7,,,,
,Prince Edward Island,4.1,,,,
,Nova Scotia,30.4,,,,
,New Brunswick,21.8,,,,
,Ontario,224.9,,,,
,Manitoba,25,,,,
,Saskatchewan,18,,,,
,Alberta,67.9,,,,
,British Columbia,48.7,,,,
,Yukon,0.37,,,,
1984-1985,Canada,526.7,,,,
,Newfoundland and Labrador,22.3,,,,
,Prince Edward Island,4.6,,,,
,Nova Scotia,34.4,,,,
,New Brunswick,24.2,,,,
,Ontario,247.1,,,,
,Manitoba,30.8,,,,
,Saskatchewan,18.4,,,,
,Alberta,95.5,,,,
,British Columbia,48.9,,,,
,Yukon,0.48,,,,
1985-1986,Canada,576.9,,,,
,Newfoundland and Labrador,29.8,,,,
,Prince Edward Island,5.1,,,,
,Nova Scotia,35.8,,,,
,New Brunswick,31.2,,,,
,Ontario,239.8,,,,
,Manitoba,35.6,,,,
,Saskatchewan,24.6,,,,
,Alberta,114.5,,,,
,British Columbia,60,,,,
,Yukon,0.54,,,,
1986-1987,Canada,621,,,,
,Newfoundland and Labrador,35.9,,,,
,Prince Edward Island,5.7,,,,
,Nova Scotia,39.9,,,,
,New Brunswick,33.2,,,,
,Ontario,231.2,,,,
,Manitoba,37.6,,,,
,Saskatchewan,39.6,,,,
,Alberta,126.1,,,,
,British Columbia,71.1,,,,
,Yukon,0.55,,,,
1987-1988,Canada,612,,,,
,Newfoundland and Labrador,33.9,,,,
,Prince Edward Island,5.8,,,,
,Nova Scotia,39.5,,,,
,New Brunswick,34.4,,,,
,Ontario,200,,,,
,Manitoba,40.4,,,,
,Saskatchewan,47.3,,,,
,Alberta,120.6,,,,
,British Columbia,89.6,,,,
,Yukon,0.56,,,,
