"","Ref_Date","GEO","SCHOOL","TotalRevAmt","TotalExpAmt","TuitionRevAmt","SalaryExpAmt"
"83","2007/2008","Newfoundland and Labrador","Total universities and colleges",435342,438963,55993,267692
"84","2007/2008","Nova Scotia","Total universities and colleges",951619,973411,280575,551415
"85","2007/2008","Ontario","Total universities and colleges",10963790,10632239,2790416,6019309
"86","2007/2008","Prince Edward Island","Total universities and colleges",109301,119399,21233,63339
"87","2007/2008","Quebec","Total universities and colleges",5501235,5723795,646640,3156061
"88","2007/2008","Saskatchewan","Total universities and colleges",936466,906518,142346,513872
"89","2008/2009","Alberta","Total universities and colleges",3350050,3302780,496423,1705071
"90","2008/2009","British Columbia","Total universities and colleges",3423119,3780263,864459,2230976
"91","2008/2009","Canada","Total universities and colleges",26405228,28343601,5853354,15858010
"92","2008/2009","Manitoba","Total universities and colleges",839207,904432,150944,509004
"93","2008/2009","New Brunswick","Total universities and colleges",475131,520234,137484,315488
"94","2008/2009","Newfoundland and Labrador","Total universities and colleges",478212,483966,56867,292200
"95","2008/2009","Nova Scotia","Total universities and colleges",916492,1036642,283329,577322
"96","2008/2009","Ontario","Total universities and colleges",10020526,11167608,2996288,6341130
"97","2008/2009","Prince Edward Island","Total universities and colleges",120943,128976,23077,68472
"98","2008/2009","Quebec","Total universities and colleges",5760175,6012980,701348,3264078
"99","2008/2009","Saskatchewan","Total universities and colleges",1021373,1005720,143135,554269
"100","2009/2010","Alberta","Total universities and colleges",4398853,4044068,665482,2116092
"101","2009/2010","British Columbia","Total universities and colleges",4257198,3954758,939085,2382335
"102","2009/2010","Canada","Total universities and colleges",31929458,29868779,6482539,16993122
"103","2009/2010","Manitoba","Total universities and colleges",1019015,945749,162063,530116
"104","2009/2010","New Brunswick","Total universities and colleges",648349,578242,139583,324563
"105","2009/2010","Newfoundland and Labrador","Total universities and colleges",544358,506631,59292,321066
"106","2009/2010","Nova Scotia","Total universities and colleges",1209991,1118754,290730,605314
"107","2009/2010","Ontario","Total universities and colleges",12426306,11505391,3276280,6549768
"108","2009/2010","Prince Edward Island","Total universities and colleges",129521,126338,25862,76520
"109","2009/2010","Quebec","Total universities and colleges",6183726,5999429,762214,3488344
"110","2009/2010","Saskatchewan","Total universities and colleges",1112141,1089419,161948,599004
"111","2010/2011","Alberta","Total universities and colleges",4239702,4138682,711973,2133865
"112","2010/2011","British Columbia","Total universities and colleges",4502707,4302064,1009476,2466985
"113","2010/2011","Canada","Total universities and colleges",32554004,31330951,7001393,17393239
"114","2010/2011","Manitoba","Total universities and colleges",1077399,1042740,176165,537273
"115","2010/2011","New Brunswick","Total universities and colleges",690309,641351,146213,328824
"116","2010/2011","Newfoundland and Labrador","Total universities and colleges",590406,559416,61537,348123
"117","2010/2011","Nova Scotia","Total universities and colleges",1205318,1204227,305597,636122
"118","2010/2011","Ontario","Total universities and colleges",12851937,12157380,3563011,6907816
"119","2010/2011","Prince Edward Island","Total universities and colleges",132381,127636,27878,79246
"120","2010/2011","Quebec","Total universities and colleges",6042251,5954679,825943,3323606
"121","2010/2011","Saskatchewan","Total universities and colleges",1221594,1202776,173600,631379
"122","2011/2012","Alberta","Total universities and colleges",3935674,3887719,742808,2224055
"123","2011/2012","British Columbia","Total universities and colleges",4257550,4174286,1070519,2534104
"124","2011/2012","Canada","Total universities and colleges",32085344,32091676,7545114,18550336
"125","2011/2012","Manitoba","Total universities and colleges",1058222,1036149,181689,567057
"126","2011/2012","New Brunswick","Total universities and colleges",608007,562812,151112,342955
"127","2011/2012","Newfoundland and Labrador","Total universities and colleges",680671,648240,61823,379423
"128","2011/2012","Nova Scotia","Total universities and colleges",1174027,1135577,328864,652426
"129","2011/2012","Ontario","Total universities and colleges",12614620,12713669,3903626,7408328
"130","2011/2012","Prince Edward Island","Total universities and colleges",137645,133803,28382,83283
"131","2011/2012","Quebec","Total universities and colleges",6453142,6551811,887123,3698310
