"","Ref_Date","GEO","SCHOOL","EXPENDITURE","FUNDFUNCTION","expenditureAmount"
"46528","2015/2016","Nova Scotia","Total universities and colleges","Total expenditures","Total funds (x 1,000)",1253889
"62017","2000/2001","New Brunswick","Total universities and colleges","Total expenditures","Total funds (x 1,000)",331242
"62018","2001/2002","New Brunswick","Total universities and colleges","Total expenditures","Total funds (x 1,000)",343601
"62019","2002/2003","New Brunswick","Total universities and colleges","Total expenditures","Total funds (x 1,000)",386447
"62020","2003/2004","New Brunswick","Total universities and colleges","Total expenditures","Total funds (x 1,000)",418433
"62021","2004/2005","New Brunswick","Total universities and colleges","Total expenditures","Total funds (x 1,000)",444047
"62022","2005/2006","New Brunswick","Total universities and colleges","Total expenditures","Total funds (x 1,000)",463911
"62023","2006/2007","New Brunswick","Total universities and colleges","Total expenditures","Total funds (x 1,000)",483406
"62024","2007/2008","New Brunswick","Total universities and colleges","Total expenditures","Total funds (x 1,000)",505417
"62025","2008/2009","New Brunswick","Total universities and colleges","Total expenditures","Total funds (x 1,000)",520234
"62026","2009/2010","New Brunswick","Total universities and colleges","Total expenditures","Total funds (x 1,000)",578242
"62027","2010/2011","New Brunswick","Total universities and colleges","Total expenditures","Total funds (x 1,000)",641351
"62028","2011/2012","New Brunswick","Total universities and colleges","Total expenditures","Total funds (x 1,000)",562812
"62029","2012/2013","New Brunswick","Total universities and colleges","Total expenditures","Total funds (x 1,000)",565739
"62030","2013/2014","New Brunswick","Total universities and colleges","Total expenditures","Total funds (x 1,000)",570707
"62031","2014/2015","New Brunswick","Total universities and colleges","Total expenditures","Total funds (x 1,000)",583186
"62032","2015/2016","New Brunswick","Total universities and colleges","Total expenditures","Total funds (x 1,000)",582480
"77521","2000/2001","Quebec","Total universities and colleges","Total expenditures","Total funds (x 1,000)",3484910
"77522","2001/2002","Quebec","Total universities and colleges","Total expenditures","Total funds (x 1,000)",3882127
"77523","2002/2003","Quebec","Total universities and colleges","Total expenditures","Total funds (x 1,000)",4520418
"77524","2003/2004","Quebec","Total universities and colleges","Total expenditures","Total funds (x 1,000)",4932011
"77525","2004/2005","Quebec","Total universities and colleges","Total expenditures","Total funds (x 1,000)",5192964
"77526","2005/2006","Quebec","Total universities and colleges","Total expenditures","Total funds (x 1,000)",5200883
"77527","2006/2007","Quebec","Total universities and colleges","Total expenditures","Total funds (x 1,000)",5415071
"77528","2007/2008","Quebec","Total universities and colleges","Total expenditures","Total funds (x 1,000)",5723795
"77529","2008/2009","Quebec","Total universities and colleges","Total expenditures","Total funds (x 1,000)",6012980
"77530","2009/2010","Quebec","Total universities and colleges","Total expenditures","Total funds (x 1,000)",5999429
"77531","2010/2011","Quebec","Total universities and colleges","Total expenditures","Total funds (x 1,000)",5954679
"77532","2011/2012","Quebec","Total universities and colleges","Total expenditures","Total funds (x 1,000)",6551811
"77533","2012/2013","Quebec","Total universities and colleges","Total expenditures","Total funds (x 1,000)",6495572
"77534","2013/2014","Quebec","Total universities and colleges","Total expenditures","Total funds (x 1,000)",6609337
"77535","2014/2015","Quebec","Total universities and colleges","Total expenditures","Total funds (x 1,000)",6698880
"77536","2015/2016","Quebec","Total universities and colleges","Total expenditures","Total funds (x 1,000)",6732858
"93025","2000/2001","Ontario","Total universities and colleges","Total expenditures","Total funds (x 1,000)",5822505
"93026","2001/2002","Ontario","Total universities and colleges","Total expenditures","Total funds (x 1,000)",6549111
"93027","2002/2003","Ontario","Total universities and colleges","Total expenditures","Total funds (x 1,000)",7240320
"93028","2003/2004","Ontario","Total universities and colleges","Total expenditures","Total funds (x 1,000)",8204272
"93029","2004/2005","Ontario","Total universities and colleges","Total expenditures","Total funds (x 1,000)",8777076
