"","Ref_Date","GEO","STUDYLEVEL","averageTuitionFee"
"114","2011/2012","Newfoundland and Labrador","Canadian graduate",2693
"115","2011/2012","Prince Edward Island","Canadian undergraduate",5784
"116","2011/2012","Prince Edward Island","Canadian graduate",4518
"117","2011/2012","Nova Scotia","Canadian undergraduate",6345
"118","2011/2012","Nova Scotia","Canadian graduate",8033
"119","2011/2012","New Brunswick","Canadian undergraduate",6182
"120","2011/2012","New Brunswick","Canadian graduate",5733
"121","2011/2012","Quebec","Canadian undergraduate",3238
"122","2011/2012","Quebec","Canadian graduate",3359
"123","2011/2012","Ontario","Canadian undergraduate",7667
"124","2011/2012","Ontario","Canadian graduate",8483
"125","2011/2012","Manitoba","Canadian undergraduate",4061
"126","2011/2012","Manitoba","Canadian graduate",4607
"127","2011/2012","Saskatchewan","Canadian undergraduate",6134
"128","2011/2012","Saskatchewan","Canadian graduate",3674
"129","2011/2012","Alberta","Canadian undergraduate",6543
"130","2011/2012","Alberta","Canadian graduate",5812
"131","2011/2012","British Columbia","Canadian undergraduate",5483
"132","2011/2012","British Columbia","Canadian graduate",8077
"133","2012/2013","Canada","Canadian undergraduate",6362
"134","2012/2013","Canada","Canadian graduate",6671
"135","2012/2013","Newfoundland and Labrador","Canadian undergraduate",2862
"136","2012/2013","Newfoundland and Labrador","Canadian graduate",2715
"137","2012/2013","Prince Edward Island","Canadian undergraduate",6037
"138","2012/2013","Prince Edward Island","Canadian graduate",5302
"139","2012/2013","Nova Scotia","Canadian undergraduate",6622
"140","2012/2013","Nova Scotia","Canadian graduate",8344
"141","2012/2013","New Brunswick","Canadian undergraduate",6374
"142","2012/2013","New Brunswick","Canadian graduate",5923
"143","2012/2013","Quebec","Canadian undergraduate",3307
"144","2012/2013","Quebec","Canadian graduate",3389
"145","2012/2013","Ontario","Canadian undergraduate",7858
"146","2012/2013","Ontario","Canadian graduate",9097
"147","2012/2013","Manitoba","Canadian undergraduate",4206
"148","2012/2013","Manitoba","Canadian graduate",4738
"149","2012/2013","Saskatchewan","Canadian undergraduate",6578
"150","2012/2013","Saskatchewan","Canadian graduate",4571
"151","2012/2013","Alberta","Canadian undergraduate",6589
"152","2012/2013","Alberta","Canadian graduate",5973
"153","2012/2013","British Columbia","Canadian undergraduate",5512
"154","2012/2013","British Columbia","Canadian graduate",7970
"155","2013/2014","Canada","Canadian undergraduate",6566
"156","2013/2014","Canada","Canadian graduate",6824
"157","2013/2014","Newfoundland and Labrador","Canadian undergraduate",2853
"158","2013/2014","Newfoundland and Labrador","Canadian graduate",2782
"159","2013/2014","Prince Edward Island","Canadian undergraduate",6300
"160","2013/2014","Prince Edward Island","Canadian graduate",5432
"161","2013/2014","Nova Scotia","Canadian undergraduate",6889
"162","2013/2014","Nova Scotia","Canadian graduate",8688
"163","2013/2014","New Brunswick","Canadian undergraduate",6572
"164","2013/2014","New Brunswick","Canadian graduate",6105
"165","2013/2014","Quebec","Canadian undergraduate",3428
"166","2013/2014","Quebec","Canadian graduate",3449
"167","2013/2014","Ontario","Canadian undergraduate",8130
"168","2013/2014","Ontario","Canadian graduate",9287
"169","2013/2014","Manitoba","Canadian undergraduate",4346
"170","2013/2014","Manitoba","Canadian graduate",4805
"171","2013/2014","Saskatchewan","Canadian undergraduate",6746
"172","2013/2014","Saskatchewan","Canadian graduate",3867
"173","2013/2014","Alberta","Canadian undergraduate",6690
"174","2013/2014","Alberta","Canadian graduate",6220
"175","2013/2014","British Columbia","Canadian undergraduate",5734
"176","2013/2014","British Columbia","Canadian graduate",8319
"177","2014/2015","Canada","Canadian undergraduate",6813
"178","2014/2015","Canada","Canadian graduate",7076
"179","2014/2015","Newfoundland and Labrador","Canadian undergraduate",2886
"180","2014/2015","Newfoundland and Labrador","Canadian graduate",2753
"181","2014/2015","Prince Edward Island","Canadian undergraduate",6473
"182","2014/2015","Prince Edward Island","Canadian graduate",5469
"183","2014/2015","Nova Scotia","Canadian undergraduate",7213
"184","2014/2015","Nova Scotia","Canadian graduate",8872
"185","2014/2015","New Brunswick","Canadian undergraduate",6794
"186","2014/2015","New Brunswick","Canadian graduate",6272
"187","2014/2015","Quebec","Canadian undergraduate",3518
"188","2014/2015","Quebec","Canadian graduate",3529
"189","2014/2015","Ontario","Canadian undergraduate",8439
"190","2014/2015","Ontario","Canadian graduate",9584
"191","2014/2015","Manitoba","Canadian undergraduate",4518
"192","2014/2015","Manitoba","Canadian graduate",5071
"193","2014/2015","Saskatchewan","Canadian undergraduate",7087
"194","2014/2015","Saskatchewan","Canadian graduate",4021
"195","2014/2015","Alberta","Canadian undergraduate",6806
"196","2014/2015","Alberta","Canadian graduate",7041
"197","2014/2015","British Columbia","Canadian undergraduate",5850
"198","2014/2015","British Columbia","Canadian graduate",8282
"199","2015/2016","Canada","Canadian undergraduate",7049
"200","2015/2016","Canada","Canadian graduate",7338
"201","2015/2016","Newfoundland and Labrador","Canadian undergraduate",2988
"202","2015/2016","Newfoundland and Labrador","Canadian graduate",2759
"203","2015/2016","Prince Edward Island","Canadian undergraduate",6756
"204","2015/2016","Prince Edward Island","Canadian graduate",5513
"205","2015/2016","Nova Scotia","Canadian undergraduate",7618
"206","2015/2016","Nova Scotia","Canadian graduate",9165
"207","2015/2016","New Brunswick","Canadian undergraduate",6910
"208","2015/2016","New Brunswick","Canadian graduate",6248
"209","2015/2016","Quebec","Canadian undergraduate",3620
"210","2015/2016","Quebec","Canadian graduate",3596
"211","2015/2016","Ontario","Canadian undergraduate",8768
"212","2015/2016","Ontario","Canadian graduate",10017
"213","2015/2016","Manitoba","Canadian undergraduate",4686
"214","2015/2016","Manitoba","Canadian graduate",5199
