"","Ref_Date","GEO","SCHOOL","REVENUE","FUND","revenueAmount"
"34910","2013/2014","Nova Scotia","Total universities and colleges","Tuition and other fees","Total funds (x 1,000)",364752
"34911","2014/2015","Nova Scotia","Total universities and colleges","Tuition and other fees","Total funds (x 1,000)",381488
"34912","2015/2016","Nova Scotia","Total universities and colleges","Tuition and other fees","Total funds (x 1,000)",395067
"45905","2000/2001","New Brunswick","Total universities and colleges","Tuition and other fees","Total funds (x 1,000)",79153
"45906","2001/2002","New Brunswick","Total universities and colleges","Tuition and other fees","Total funds (x 1,000)",89906
"45907","2002/2003","New Brunswick","Total universities and colleges","Tuition and other fees","Total funds (x 1,000)",106549
"45908","2003/2004","New Brunswick","Total universities and colleges","Tuition and other fees","Total funds (x 1,000)",117035
"45909","2004/2005","New Brunswick","Total universities and colleges","Tuition and other fees","Total funds (x 1,000)",122164
"45910","2005/2006","New Brunswick","Total universities and colleges","Tuition and other fees","Total funds (x 1,000)",129997
"45911","2006/2007","New Brunswick","Total universities and colleges","Tuition and other fees","Total funds (x 1,000)",132059
"45912","2007/2008","New Brunswick","Total universities and colleges","Tuition and other fees","Total funds (x 1,000)",134073
"45913","2008/2009","New Brunswick","Total universities and colleges","Tuition and other fees","Total funds (x 1,000)",137484
"45914","2009/2010","New Brunswick","Total universities and colleges","Tuition and other fees","Total funds (x 1,000)",139583
"45915","2010/2011","New Brunswick","Total universities and colleges","Tuition and other fees","Total funds (x 1,000)",146213
"45916","2011/2012","New Brunswick","Total universities and colleges","Tuition and other fees","Total funds (x 1,000)",151112
"45917","2012/2013","New Brunswick","Total universities and colleges","Tuition and other fees","Total funds (x 1,000)",158094
"45918","2013/2014","New Brunswick","Total universities and colleges","Tuition and other fees","Total funds (x 1,000)",155642
"45919","2014/2015","New Brunswick","Total universities and colleges","Tuition and other fees","Total funds (x 1,000)",153203
"45920","2015/2016","New Brunswick","Total universities and colleges","Tuition and other fees","Total funds (x 1,000)",148556
"57041","2000/2001","Quebec","Total universities and colleges","Tuition and other fees","Total funds (x 1,000)",407458
"57042","2001/2002","Quebec","Total universities and colleges","Tuition and other fees","Total funds (x 1,000)",429864
"57043","2002/2003","Quebec","Total universities and colleges","Tuition and other fees","Total funds (x 1,000)",454438
"57044","2003/2004","Quebec","Total universities and colleges","Tuition and other fees","Total funds (x 1,000)",514601
"57045","2004/2005","Quebec","Total universities and colleges","Tuition and other fees","Total funds (x 1,000)",539421
"57046","2005/2006","Quebec","Total universities and colleges","Tuition and other fees","Total funds (x 1,000)",557995
"57047","2006/2007","Quebec","Total universities and colleges","Tuition and other fees","Total funds (x 1,000)",594001
"57048","2007/2008","Quebec","Total universities and colleges","Tuition and other fees","Total funds (x 1,000)",646640
"57049","2008/2009","Quebec","Total universities and colleges","Tuition and other fees","Total funds (x 1,000)",701348
"57050","2009/2010","Quebec","Total universities and colleges","Tuition and other fees","Total funds (x 1,000)",762214
"57051","2010/2011","Quebec","Total universities and colleges","Tuition and other fees","Total funds (x 1,000)",825943
"57052","2011/2012","Quebec","Total universities and colleges","Tuition and other fees","Total funds (x 1,000)",887123
"57053","2012/2013","Quebec","Total universities and colleges","Tuition and other fees","Total funds (x 1,000)",953433
"57054","2013/2014","Quebec","Total universities and colleges","Tuition and other fees","Total funds (x 1,000)",1004298
"57055","2014/2015","Quebec","Total universities and colleges","Tuition and other fees","Total funds (x 1,000)",1055748
"57056","2015/2016","Quebec","Total universities and colleges","Tuition and other fees","Total funds (x 1,000)",1089767
"68177","2000/2001","Ontario","Total universities and colleges","Tuition and other fees","Total funds (x 1,000)",1509442
