"","institutionName","numOfBorrowers","receivedAssistance","AssistanceParticipationRate"
"1","ALGOMA UNIVERSITY",156,59,37.8
"2","BROCK UNIVERSITY",2091,615,29.4
"3","CARLETON UNIVERSITY",2423,794,32.8
"4","LAKEHEAD UNIVERSITY",1273,375,29.5
"5","LAURENTIAN UNIVERSITY",755,246,32.6
"6","MCMASTER UNIVERSITY",3214,824,25.6
"7","NIPISSING UNIVERSITY",928,257,27.7
"8","NORTHERN ONTARIO SCHOOL OF MEDICINE",55,2,3.6
"9","ONTARIO COLLEGE OF ART AND DESIGN UNIVERSITY",624,271,43.4
"10","QUEEN'S UNIVERSITY",1823,361,19.8
"11","ROYAL MILITARY COLLEGE OF CANADA",8,1,12.5
"12","RYERSON UNIVERSITY",4125,1442,35
"13","TRENT UNIVERSITY",1183,458,38.7
"14","UNIVERSITY OF GUELPH",2877,819,28.5
"15","UNIVERSITY OF ONTARIO INSTITUTE OF TECHNOLOGY",1340,459,34.3
"16","UNIVERSITY OF OTTAWA/UNIVERSITE D'OTTAWA",3557,1112,31.3
"17","UNIVERSITY OF TORONTO",8354,2522,30.2
"18","UNIVERSITY OF WATERLOO",3242,709,21.9
"19","UNIVERSITY OF WINDSOR",1890,723,38.3
"20","WESTERN UNIVERSITY",3847,1047,27.2
"21","WILFRID LAURIER UNIVERSITY",1878,494,26.3
"22","YORK UNIVERSITY",6980,2818,40.4
