Ref_Date,GEO,STUDY,Vector,Coordinate,Value
2010/2011,Prince Edward Island,Canadian graduate,v107791657,3.2,4413
2010/2011,Nova Scotia,Canadian undergraduate,v107791658,4.1,6168
2010/2011,Nova Scotia,Canadian graduate,v107791659,4.2,7998
2010/2011,New Brunswick,Canadian undergraduate,v107791660,5.1,6001
2010/2011,New Brunswick,Canadian graduate,v107791661,5.2,5438
2010/2011,Quebec,Canadian undergraduate,v107791662,6.1,3107
2010/2011,Quebec,Canadian graduate,v107791663,6.2,3107
2010/2011,Ontario,Canadian undergraduate,v107791664,7.1,7158
2010/2011,Ontario,Canadian graduate,v107791665,7.2,7999
2010/2011,Manitoba,Canadian undergraduate,v107791666,8.1,4009
2010/2011,Manitoba,Canadian graduate,v107791667,8.2,4564
2010/2011,Saskatchewan,Canadian undergraduate,v107791668,9.1,5998
2010/2011,Saskatchewan,Canadian graduate,v107791669,9.2,3968
2010/2011,Alberta,Canadian undergraduate,v107791670,10.1,6832
2010/2011,Alberta,Canadian graduate,v107791671,10.2,5702
2010/2011,British Columbia,Canadian undergraduate,v107791672,11.1,5361
2010/2011,British Columbia,Canadian graduate,v107791673,11.2,7906
2011/2012,Canada,Canadian undergraduate,v107791652,1.1,6039
2011/2012,Canada,Canadian graduate,v107791653,1.2,6164
2011/2012,Newfoundland and Labrador,Canadian undergraduate,v107791654,2.1,2861
2011/2012,Newfoundland and Labrador,Canadian graduate,v107791655,2.2,2693
2011/2012,Prince Edward Island,Canadian undergraduate,v107791656,3.1,5784
2011/2012,Prince Edward Island,Canadian graduate,v107791657,3.2,4518
2011/2012,Nova Scotia,Canadian undergraduate,v107791658,4.1,6345
2011/2012,Nova Scotia,Canadian graduate,v107791659,4.2,8033
2011/2012,New Brunswick,Canadian undergraduate,v107791660,5.1,6182
2011/2012,New Brunswick,Canadian graduate,v107791661,5.2,5733
2011/2012,Quebec,Canadian undergraduate,v107791662,6.1,3238
2011/2012,Quebec,Canadian graduate,v107791663,6.2,3359
2011/2012,Ontario,Canadian undergraduate,v107791664,7.1,7667
2011/2012,Ontario,Canadian graduate,v107791665,7.2,8483
2011/2012,Manitoba,Canadian undergraduate,v107791666,8.1,4061
2011/2012,Manitoba,Canadian graduate,v107791667,8.2,4607
2011/2012,Saskatchewan,Canadian undergraduate,v107791668,9.1,6134
2011/2012,Saskatchewan,Canadian graduate,v107791669,9.2,3674
2011/2012,Alberta,Canadian undergraduate,v107791670,10.1,6543
2011/2012,Alberta,Canadian graduate,v107791671,10.2,5812
2011/2012,British Columbia,Canadian undergraduate,v107791672,11.1,5483
2011/2012,British Columbia,Canadian graduate,v107791673,11.2,8077
2012/2013,Canada,Canadian undergraduate,v107791652,1.1,6362
2012/2013,Canada,Canadian graduate,v107791653,1.2,6671
2012/2013,Newfoundland and Labrador,Canadian undergraduate,v107791654,2.1,2862
2012/2013,Newfoundland and Labrador,Canadian graduate,v107791655,2.2,2715
2012/2013,Prince Edward Island,Canadian undergraduate,v107791656,3.1,6037
2012/2013,Prince Edward Island,Canadian graduate,v107791657,3.2,5302
2012/2013,Nova Scotia,Canadian undergraduate,v107791658,4.1,6622
2012/2013,Nova Scotia,Canadian graduate,v107791659,4.2,8344
2012/2013,New Brunswick,Canadian undergraduate,v107791660,5.1,6374
2012/2013,New Brunswick,Canadian graduate,v107791661,5.2,5923
2012/2013,Quebec,Canadian undergraduate,v107791662,6.1,3307
2012/2013,Quebec,Canadian graduate,v107791663,6.2,3389
2012/2013,Ontario,Canadian undergraduate,v107791664,7.1,7858
2012/2013,Ontario,Canadian graduate,v107791665,7.2,9097
2012/2013,Manitoba,Canadian undergraduate,v107791666,8.1,4206
2012/2013,Manitoba,Canadian graduate,v107791667,8.2,4738
2012/2013,Saskatchewan,Canadian undergraduate,v107791668,9.1,6578
2012/2013,Saskatchewan,Canadian graduate,v107791669,9.2,4571
2012/2013,Alberta,Canadian undergraduate,v107791670,10.1,6589
2012/2013,Alberta,Canadian graduate,v107791671,10.2,5973
2012/2013,British Columbia,Canadian undergraduate,v107791672,11.1,5512
2012/2013,British Columbia,Canadian graduate,v107791673,11.2,7970
2013/2014,Canada,Canadian undergraduate,v107791652,1.1,6566
2013/2014,Canada,Canadian graduate,v107791653,1.2,6824
2013/2014,Newfoundland and Labrador,Canadian undergraduate,v107791654,2.1,2853
2013/2014,Newfoundland and Labrador,Canadian graduate,v107791655,2.2,2782
2013/2014,Prince Edward Island,Canadian undergraduate,v107791656,3.1,6300
2013/2014,Prince Edward Island,Canadian graduate,v107791657,3.2,5432
2013/2014,Nova Scotia,Canadian undergraduate,v107791658,4.1,6889
2013/2014,Nova Scotia,Canadian graduate,v107791659,4.2,8688
2013/2014,New Brunswick,Canadian undergraduate,v107791660,5.1,6572
2013/2014,New Brunswick,Canadian graduate,v107791661,5.2,6105
2013/2014,Quebec,Canadian undergraduate,v107791662,6.1,3428
2013/2014,Quebec,Canadian graduate,v107791663,6.2,3449
2013/2014,Ontario,Canadian undergraduate,v107791664,7.1,8130
2013/2014,Ontario,Canadian graduate,v107791665,7.2,9287
2013/2014,Manitoba,Canadian undergraduate,v107791666,8.1,4346
2013/2014,Manitoba,Canadian graduate,v107791667,8.2,4805
2013/2014,Saskatchewan,Canadian undergraduate,v107791668,9.1,6746
2013/2014,Saskatchewan,Canadian graduate,v107791669,9.2,3867
2013/2014,Alberta,Canadian undergraduate,v107791670,10.1,6690
2013/2014,Alberta,Canadian graduate,v107791671,10.2,6220
2013/2014,British Columbia,Canadian undergraduate,v107791672,11.1,5734
2013/2014,British Columbia,Canadian graduate,v107791673,11.2,8319
2014/2015,Canada,Canadian undergraduate,v107791652,1.1,6813
2014/2015,Canada,Canadian graduate,v107791653,1.2,7076
2014/2015,Newfoundland and Labrador,Canadian undergraduate,v107791654,2.1,2886
2014/2015,Newfoundland and Labrador,Canadian graduate,v107791655,2.2,2753
2014/2015,Prince Edward Island,Canadian undergraduate,v107791656,3.1,6473
2014/2015,Prince Edward Island,Canadian graduate,v107791657,3.2,5469
2014/2015,Nova Scotia,Canadian undergraduate,v107791658,4.1,7213
2014/2015,Nova Scotia,Canadian graduate,v107791659,4.2,8872
2014/2015,New Brunswick,Canadian undergraduate,v107791660,5.1,6794
2014/2015,New Brunswick,Canadian graduate,v107791661,5.2,6272
2014/2015,Quebec,Canadian undergraduate,v107791662,6.1,3518
2014/2015,Quebec,Canadian graduate,v107791663,6.2,3529
2014/2015,Ontario,Canadian undergraduate,v107791664,7.1,8439
2014/2015,Ontario,Canadian graduate,v107791665,7.2,9584
2014/2015,Manitoba,Canadian undergraduate,v107791666,8.1,4518
2014/2015,Manitoba,Canadian graduate,v107791667,8.2,5071
2014/2015,Saskatchewan,Canadian undergraduate,v107791668,9.1,7087
2014/2015,Saskatchewan,Canadian graduate,v107791669,9.2,4021
2014/2015,Alberta,Canadian undergraduate,v107791670,10.1,6806
2014/2015,Alberta,Canadian graduate,v107791671,10.2,7041
2014/2015,British Columbia,Canadian undergraduate,v107791672,11.1,5850
2014/2015,British Columbia,Canadian graduate,v107791673,11.2,8282
