"","Ref_Date","GEO","SCHOOL","EXPENDITURE","FUNDFUNCTION","expenditureAmount"
"266","2009/2010","Canada","Total universities and colleges","Salaries and benefits","Total funds (x 1,000)",16993122
"267","2010/2011","Canada","Total universities and colleges","Salaries and benefits","Total funds (x 1,000)",17393239
"268","2011/2012","Canada","Total universities and colleges","Salaries and benefits","Total funds (x 1,000)",18550336
"269","2012/2013","Canada","Total universities and colleges","Salaries and benefits","Total funds (x 1,000)",19220616
"270","2013/2014","Canada","Total universities and colleges","Salaries and benefits","Total funds (x 1,000)",20061849
"271","2014/2015","Canada","Total universities and colleges","Salaries and benefits","Total funds (x 1,000)",20359961
"272","2015/2016","Canada","Total universities and colleges","Salaries and benefits","Total funds (x 1,000)",20821255
"15505","2000/2001","Newfoundland and Labrador","Total universities and colleges","Total expenditures","Total funds (x 1,000)",262484
"15506","2001/2002","Newfoundland and Labrador","Total universities and colleges","Total expenditures","Total funds (x 1,000)",281068
"15507","2002/2003","Newfoundland and Labrador","Total universities and colleges","Total expenditures","Total funds (x 1,000)",295056
"15508","2003/2004","Newfoundland and Labrador","Total universities and colleges","Total expenditures","Total funds (x 1,000)",335972
"15509","2004/2005","Newfoundland and Labrador","Total universities and colleges","Total expenditures","Total funds (x 1,000)",351338
"15510","2005/2006","Newfoundland and Labrador","Total universities and colleges","Total expenditures","Total funds (x 1,000)",388807
"15511","2006/2007","Newfoundland and Labrador","Total universities and colleges","Total expenditures","Total funds (x 1,000)",400503
"15512","2007/2008","Newfoundland and Labrador","Total universities and colleges","Total expenditures","Total funds (x 1,000)",438963
"15513","2008/2009","Newfoundland and Labrador","Total universities and colleges","Total expenditures","Total funds (x 1,000)",483966
"15514","2009/2010","Newfoundland and Labrador","Total universities and colleges","Total expenditures","Total funds (x 1,000)",506631
"15515","2010/2011","Newfoundland and Labrador","Total universities and colleges","Total expenditures","Total funds (x 1,000)",559416
"15516","2011/2012","Newfoundland and Labrador","Total universities and colleges","Total expenditures","Total funds (x 1,000)",648240
"15517","2012/2013","Newfoundland and Labrador","Total universities and colleges","Total expenditures","Total funds (x 1,000)",724774
"15518","2013/2014","Newfoundland and Labrador","Total universities and colleges","Total expenditures","Total funds (x 1,000)",680463
"15519","2014/2015","Newfoundland and Labrador","Total universities and colleges","Total expenditures","Total funds (x 1,000)",663715
"15520","2015/2016","Newfoundland and Labrador","Total universities and colleges","Total expenditures","Total funds (x 1,000)",646773
"15761","2000/2001","Newfoundland and Labrador","Total universities and colleges","Salaries and benefits","Total funds (x 1,000)",164070
"15762","2001/2002","Newfoundland and Labrador","Total universities and colleges","Salaries and benefits","Total funds (x 1,000)",182647
"15763","2002/2003","Newfoundland and Labrador","Total universities and colleges","Salaries and benefits","Total funds (x 1,000)",200242
"15764","2003/2004","Newfoundland and Labrador","Total universities and colleges","Salaries and benefits","Total funds (x 1,000)",216283
"15765","2004/2005","Newfoundland and Labrador","Total universities and colleges","Salaries and benefits","Total funds (x 1,000)",224027
"15766","2005/2006","Newfoundland and Labrador","Total universities and colleges","Salaries and benefits","Total funds (x 1,000)",232144
"15767","2006/2007","Newfoundland and Labrador","Total universities and colleges","Salaries and benefits","Total funds (x 1,000)",242647
"15768","2007/2008","Newfoundland and Labrador","Total universities and colleges","Salaries and benefits","Total funds (x 1,000)",267692
"15769","2008/2009","Newfoundland and Labrador","Total universities and colleges","Salaries and benefits","Total funds (x 1,000)",292200
"15770","2009/2010","Newfoundland and Labrador","Total universities and colleges","Salaries and benefits","Total funds (x 1,000)",321066
"15771","2010/2011","Newfoundland and Labrador","Total universities and colleges","Salaries and benefits","Total funds (x 1,000)",348123
"15772","2011/2012","Newfoundland and Labrador","Total universities and colleges","Salaries and benefits","Total funds (x 1,000)",379423
"15773","2012/2013","Newfoundland and Labrador","Total universities and colleges","Salaries and benefits","Total funds (x 1,000)",406828
"15774","2013/2014","Newfoundland and Labrador","Total universities and colleges","Salaries and benefits","Total funds (x 1,000)",420096
"15775","2014/2015","Newfoundland and Labrador","Total universities and colleges","Salaries and benefits","Total funds (x 1,000)",429522
"15776","2015/2016","Newfoundland and Labrador","Total universities and colleges","Salaries and benefits","Total funds (x 1,000)",422900
"31009","2000/2001","Prince Edward Island","Total universities and colleges","Total expenditures","Total funds (x 1,000)",59138
"31010","2001/2002","Prince Edward Island","Total universities and colleges","Total expenditures","Total funds (x 1,000)",65638
"31011","2002/2003","Prince Edward Island","Total universities and colleges","Total expenditures","Total funds (x 1,000)",74435
"31012","2003/2004","Prince Edward Island","Total universities and colleges","Total expenditures","Total funds (x 1,000)",82415
"31013","2004/2005","Prince Edward Island","Total universities and colleges","Total expenditures","Total funds (x 1,000)",96671
"31014","2005/2006","Prince Edward Island","Total universities and colleges","Total expenditures","Total funds (x 1,000)",109553
"31015","2006/2007","Prince Edward Island","Total universities and colleges","Total expenditures","Total funds (x 1,000)",115862
"31016","2007/2008","Prince Edward Island","Total universities and colleges","Total expenditures","Total funds (x 1,000)",119399
"31017","2008/2009","Prince Edward Island","Total universities and colleges","Total expenditures","Total funds (x 1,000)",128976
"31018","2009/2010","Prince Edward Island","Total universities and colleges","Total expenditures","Total funds (x 1,000)",126338
"31019","2010/2011","Prince Edward Island","Total universities and colleges","Total expenditures","Total funds (x 1,000)",127636
"31020","2011/2012","Prince Edward Island","Total universities and colleges","Total expenditures","Total funds (x 1,000)",133803
"31021","2012/2013","Prince Edward Island","Total universities and colleges","Total expenditures","Total funds (x 1,000)",129631
"31022","2013/2014","Prince Edward Island","Total universities and colleges","Total expenditures","Total funds (x 1,000)",121569
"31023","2014/2015","Prince Edward Island","Total universities and colleges","Total expenditures","Total funds (x 1,000)",124346
"31024","2015/2016","Prince Edward Island","Total universities and colleges","Total expenditures","Total funds (x 1,000)",140802
"31265","2000/2001","Prince Edward Island","Total universities and colleges","Salaries and benefits","Total funds (x 1,000)",36697
"31266","2001/2002","Prince Edward Island","Total universities and colleges","Salaries and benefits","Total funds (x 1,000)",40615
"31267","2002/2003","Prince Edward Island","Total universities and colleges","Salaries and benefits","Total funds (x 1,000)",45201
"31268","2003/2004","Prince Edward Island","Total universities and colleges","Salaries and benefits","Total funds (x 1,000)",49229
"31269","2004/2005","Prince Edward Island","Total universities and colleges","Salaries and benefits","Total funds (x 1,000)",51996
"31270","2005/2006","Prince Edward Island","Total universities and colleges","Salaries and benefits","Total funds (x 1,000)",55405
"31271","2006/2007","Prince Edward Island","Total universities and colleges","Salaries and benefits","Total funds (x 1,000)",60498
"31272","2007/2008","Prince Edward Island","Total universities and colleges","Salaries and benefits","Total funds (x 1,000)",63339
"31273","2008/2009","Prince Edward Island","Total universities and colleges","Salaries and benefits","Total funds (x 1,000)",68472
"31274","2009/2010","Prince Edward Island","Total universities and colleges","Salaries and benefits","Total funds (x 1,000)",76520
"31275","2010/2011","Prince Edward Island","Total universities and colleges","Salaries and benefits","Total funds (x 1,000)",79246
"31276","2011/2012","Prince Edward Island","Total universities and colleges","Salaries and benefits","Total funds (x 1,000)",83283
"31277","2012/2013","Prince Edward Island","Total universities and colleges","Salaries and benefits","Total funds (x 1,000)",86413
"31278","2013/2014","Prince Edward Island","Total universities and colleges","Salaries and benefits","Total funds (x 1,000)",80535
"31279","2014/2015","Prince Edward Island","Total universities and colleges","Salaries and benefits","Total funds (x 1,000)",81785
"31280","2015/2016","Prince Edward Island","Total universities and colleges","Salaries and benefits","Total funds (x 1,000)",84045
"46513","2000/2001","Nova Scotia","Total universities and colleges","Total expenditures","Total funds (x 1,000)",658170
