"","Ref_Date","GEO","SCHOOL","REVENUE","FUND","revenueAmount"
"44290","2001/2002","New Brunswick","Total universities and colleges","Total revenues","Total funds (x 1,000)",354575
"44291","2002/2003","New Brunswick","Total universities and colleges","Total revenues","Total funds (x 1,000)",396521
"44292","2003/2004","New Brunswick","Total universities and colleges","Total revenues","Total funds (x 1,000)",408997
"44293","2004/2005","New Brunswick","Total universities and colleges","Total revenues","Total funds (x 1,000)",456949
"44294","2005/2006","New Brunswick","Total universities and colleges","Total revenues","Total funds (x 1,000)",483746
"44295","2006/2007","New Brunswick","Total universities and colleges","Total revenues","Total funds (x 1,000)",547817
"44296","2007/2008","New Brunswick","Total universities and colleges","Total revenues","Total funds (x 1,000)",506285
"44297","2008/2009","New Brunswick","Total universities and colleges","Total revenues","Total funds (x 1,000)",475131
"44298","2009/2010","New Brunswick","Total universities and colleges","Total revenues","Total funds (x 1,000)",648349
"44299","2010/2011","New Brunswick","Total universities and colleges","Total revenues","Total funds (x 1,000)",690309
"44300","2011/2012","New Brunswick","Total universities and colleges","Total revenues","Total funds (x 1,000)",608007
"44301","2012/2013","New Brunswick","Total universities and colleges","Total revenues","Total funds (x 1,000)",630598
"44302","2013/2014","New Brunswick","Total universities and colleges","Total revenues","Total funds (x 1,000)",624965
"44303","2014/2015","New Brunswick","Total universities and colleges","Total revenues","Total funds (x 1,000)",635022
"44304","2015/2016","New Brunswick","Total universities and colleges","Total revenues","Total funds (x 1,000)",555554
"55425","2000/2001","Quebec","Total universities and colleges","Total revenues","Total funds (x 1,000)",3613399
"55426","2001/2002","Quebec","Total universities and colleges","Total revenues","Total funds (x 1,000)",3959953
"55427","2002/2003","Quebec","Total universities and colleges","Total revenues","Total funds (x 1,000)",4429924
"55428","2003/2004","Quebec","Total universities and colleges","Total revenues","Total funds (x 1,000)",4923527
"55429","2004/2005","Quebec","Total universities and colleges","Total revenues","Total funds (x 1,000)",4857995
"55430","2005/2006","Quebec","Total universities and colleges","Total revenues","Total funds (x 1,000)",5044274
"55431","2006/2007","Quebec","Total universities and colleges","Total revenues","Total funds (x 1,000)",5375628
"55432","2007/2008","Quebec","Total universities and colleges","Total revenues","Total funds (x 1,000)",5501235
"55433","2008/2009","Quebec","Total universities and colleges","Total revenues","Total funds (x 1,000)",5760175
"55434","2009/2010","Quebec","Total universities and colleges","Total revenues","Total funds (x 1,000)",6183726
"55435","2010/2011","Quebec","Total universities and colleges","Total revenues","Total funds (x 1,000)",6042251
"55436","2011/2012","Quebec","Total universities and colleges","Total revenues","Total funds (x 1,000)",6453142
"55437","2012/2013","Quebec","Total universities and colleges","Total revenues","Total funds (x 1,000)",6426934
"55438","2013/2014","Quebec","Total universities and colleges","Total revenues","Total funds (x 1,000)",6808392
"55439","2014/2015","Quebec","Total universities and colleges","Total revenues","Total funds (x 1,000)",6772479
"55440","2015/2016","Quebec","Total universities and colleges","Total revenues","Total funds (x 1,000)",6791216
"66561","2000/2001","Ontario","Total universities and colleges","Total revenues","Total funds (x 1,000)",6192454
"66562","2001/2002","Ontario","Total universities and colleges","Total revenues","Total funds (x 1,000)",6523569
"66563","2002/2003","Ontario","Total universities and colleges","Total revenues","Total funds (x 1,000)",6842737
"66564","2003/2004","Ontario","Total universities and colleges","Total revenues","Total funds (x 1,000)",8458755
"66565","2004/2005","Ontario","Total universities and colleges","Total revenues","Total funds (x 1,000)",9161733
"66566","2005/2006","Ontario","Total universities and colleges","Total revenues","Total funds (x 1,000)",9998731
"66567","2006/2007","Ontario","Total universities and colleges","Total revenues","Total funds (x 1,000)",10816196
"66568","2007/2008","Ontario","Total universities and colleges","Total revenues","Total funds (x 1,000)",10963790
"66569","2008/2009","Ontario","Total universities and colleges","Total revenues","Total funds (x 1,000)",10020526
"66570","2009/2010","Ontario","Total universities and colleges","Total revenues","Total funds (x 1,000)",12426306
"66571","2010/2011","Ontario","Total universities and colleges","Total revenues","Total funds (x 1,000)",12851937
"66572","2011/2012","Ontario","Total universities and colleges","Total revenues","Total funds (x 1,000)",12614620
"66573","2012/2013","Ontario","Total universities and colleges","Total revenues","Total funds (x 1,000)",13706441
"66574","2013/2014","Ontario","Total universities and colleges","Total revenues","Total funds (x 1,000)",14350049
"66575","2014/2015","Ontario","Total universities and colleges","Total revenues","Total funds (x 1,000)",14684068
"66576","2015/2016","Ontario","Total universities and colleges","Total revenues","Total funds (x 1,000)",14236345
"77697","2000/2001","Manitoba","Total universities and colleges","Total revenues","Total funds (x 1,000)",629163
"77698","2001/2002","Manitoba","Total universities and colleges","Total revenues","Total funds (x 1,000)",606933
"77699","2002/2003","Manitoba","Total universities and colleges","Total revenues","Total funds (x 1,000)",670887
"77700","2003/2004","Manitoba","Total universities and colleges","Total revenues","Total funds (x 1,000)",694624
"77701","2004/2005","Manitoba","Total universities and colleges","Total revenues","Total funds (x 1,000)",753134
"77702","2005/2006","Manitoba","Total universities and colleges","Total revenues","Total funds (x 1,000)",788855
"77703","2006/2007","Manitoba","Total universities and colleges","Total revenues","Total funds (x 1,000)",822195
"77704","2007/2008","Manitoba","Total universities and colleges","Total revenues","Total funds (x 1,000)",852852
"77705","2008/2009","Manitoba","Total universities and colleges","Total revenues","Total funds (x 1,000)",839207
"77706","2009/2010","Manitoba","Total universities and colleges","Total revenues","Total funds (x 1,000)",1019015
"77707","2010/2011","Manitoba","Total universities and colleges","Total revenues","Total funds (x 1,000)",1077399
"77708","2011/2012","Manitoba","Total universities and colleges","Total revenues","Total funds (x 1,000)",1058222
"77709","2012/2013","Manitoba","Total universities and colleges","Total revenues","Total funds (x 1,000)",1072313
"77710","2013/2014","Manitoba","Total universities and colleges","Total revenues","Total funds (x 1,000)",1139574
"77711","2014/2015","Manitoba","Total universities and colleges","Total revenues","Total funds (x 1,000)",1151231
"77712","2015/2016","Manitoba","Total universities and colleges","Total revenues","Total funds (x 1,000)",1216616
"88833","2000/2001","Saskatchewan","Total universities and colleges","Total revenues","Total funds (x 1,000)",678350
"88834","2001/2002","Saskatchewan","Total universities and colleges","Total revenues","Total funds (x 1,000)",709246
"88835","2002/2003","Saskatchewan","Total universities and colleges","Total revenues","Total funds (x 1,000)",736181
"88836","2003/2004","Saskatchewan","Total universities and colleges","Total revenues","Total funds (x 1,000)",786286
"88837","2004/2005","Saskatchewan","Total universities and colleges","Total revenues","Total funds (x 1,000)",846448
"88838","2005/2006","Saskatchewan","Total universities and colleges","Total revenues","Total funds (x 1,000)",900770
"88839","2006/2007","Saskatchewan","Total universities and colleges","Total revenues","Total funds (x 1,000)",943145
"88840","2007/2008","Saskatchewan","Total universities and colleges","Total revenues","Total funds (x 1,000)",936466
"88841","2008/2009","Saskatchewan","Total universities and colleges","Total revenues","Total funds (x 1,000)",1021373
"88842","2009/2010","Saskatchewan","Total universities and colleges","Total revenues","Total funds (x 1,000)",1112141
"88843","2010/2011","Saskatchewan","Total universities and colleges","Total revenues","Total funds (x 1,000)",1221594
"88844","2011/2012","Saskatchewan","Total universities and colleges","Total revenues","Total funds (x 1,000)",1165786
"88845","2012/2013","Saskatchewan","Total universities and colleges","Total revenues","Total funds (x 1,000)",1262715
"88846","2013/2014","Saskatchewan","Total universities and colleges","Total revenues","Total funds (x 1,000)",1366483
"88847","2014/2015","Saskatchewan","Total universities and colleges","Total revenues","Total funds (x 1,000)",1370855
"88848","2015/2016","Saskatchewan","Total universities and colleges","Total revenues","Total funds (x 1,000)",1262120
"99969","2000/2001","Alberta","Total universities and colleges","Total revenues","Total funds (x 1,000)",1716783
"99970","2001/2002","Alberta","Total universities and colleges","Total revenues","Total funds (x 1,000)",1796167
"99971","2002/2003","Alberta","Total universities and colleges","Total revenues","Total funds (x 1,000)",1700493
"99972","2003/2004","Alberta","Total universities and colleges","Total revenues","Total funds (x 1,000)",2292392
"99973","2004/2005","Alberta","Total universities and colleges","Total revenues","Total funds (x 1,000)",2306148
"99974","2005/2006","Alberta","Total universities and colleges","Total revenues","Total funds (x 1,000)",2580536
"99975","2006/2007","Alberta","Total universities and colleges","Total revenues","Total funds (x 1,000)",3019746
"99976","2007/2008","Alberta","Total universities and colleges","Total revenues","Total funds (x 1,000)",3296642
"99977","2008/2009","Alberta","Total universities and colleges","Total revenues","Total funds (x 1,000)",3350050
"99978","2009/2010","Alberta","Total universities and colleges","Total revenues","Total funds (x 1,000)",4398853
"99979","2010/2011","Alberta","Total universities and colleges","Total revenues","Total funds (x 1,000)",4239702
"99980","2011/2012","Alberta","Total universities and colleges","Total revenues","Total funds (x 1,000)",3935674
"99981","2012/2013","Alberta","Total universities and colleges","Total revenues","Total funds (x 1,000)",4037222
"99982","2013/2014","Alberta","Total universities and colleges","Total revenues","Total funds (x 1,000)",4239530
"99983","2014/2015","Alberta","Total universities and colleges","Total revenues","Total funds (x 1,000)",4564075
"99984","2015/2016","Alberta","Total universities and colleges","Total revenues","Total funds (x 1,000)",4112928
"111105","2000/2001","British Columbia","Total universities and colleges","Total revenues","Total funds (x 1,000)",2020474
"111106","2001/2002","British Columbia","Total universities and colleges","Total revenues","Total funds (x 1,000)",2236677
"111107","2002/2003","British Columbia","Total universities and colleges","Total revenues","Total funds (x 1,000)",2604516
"111108","2003/2004","British Columbia","Total universities and colleges","Total revenues","Total funds (x 1,000)",2846546
"111109","2004/2005","British Columbia","Total universities and colleges","Total revenues","Total funds (x 1,000)",2988849
"111110","2005/2006","British Columbia","Total universities and colleges","Total revenues","Total funds (x 1,000)",3483287
"111111","2006/2007","British Columbia","Total universities and colleges","Total revenues","Total funds (x 1,000)",3420933
"111112","2007/2008","British Columbia","Total universities and colleges","Total revenues","Total funds (x 1,000)",3648272
"111113","2008/2009","British Columbia","Total universities and colleges","Total revenues","Total funds (x 1,000)",3423119
"111114","2009/2010","British Columbia","Total universities and colleges","Total revenues","Total funds (x 1,000)",4257198
"111115","2010/2011","British Columbia","Total universities and colleges","Total revenues","Total funds (x 1,000)",4502707
"111116","2011/2012","British Columbia","Total universities and colleges","Total revenues","Total funds (x 1,000)",4257550
"111117","2012/2013","British Columbia","Total universities and colleges","Total revenues","Total funds (x 1,000)",4382504
"111118","2013/2014","British Columbia","Total universities and colleges","Total revenues","Total funds (x 1,000)",4503825
"111119","2014/2015","British Columbia","Total universities and colleges","Total revenues","Total funds (x 1,000)",4643314
"111120","2015/2016","British Columbia","Total universities and colleges","Total revenues","Total funds (x 1,000)",4565001
